embedding_id,asset_ref_title,visual_caption,source_asset_id,embedding_model_version,modality,owner_account_id,capture_date
EMB-10295,Brand Identity Collateral - Saturated Graphic,"A graphic-design video-frame featuring a spring collection promotional banner with pastel tones, floral motifs, and discount badge elements for e-commerce and email marketing campaigns. Title: Brand Identity Collateral - Saturated Graphic.",BA-008125,openai-ada-002-multimodal,video-frame,ACC-2345,2026-02-08
EMB-10296,Customer Smiling Testimonial - Rustic Badge,"A product-focused video-frame featuring an espresso bar setup with branded cups, equipment, and menu board visible in the background, shot for coffee shop marketing and hospitality brand discovery. Asset: Customer Smiling Testimonial - Rustic Badge.",BA-008088,openai-ada-002-multimodal,video-frame,ACC-4234,2026-01-08
EMB-10297,Quote Graphic Social Proof - Clean Banner,"A nature photography image featuring a mountain landscape at golden hour, with wide-angle composition and atmospheric haze effects. The image serves as a generic stock visual for travel and wellness content. Asset: Quote Graphic Social Proof - Clean Banner.",BA-005437,google-multimodal-embed-v1,image,ACC-3278,2026-01-22
EMB-10298,Loyalty Card Design - Rustic Poster,"This graphic-design presents a case study visual with data visualization overlays and branded typography, serving as visual identity collateral for B2B marketing and client presentation decks. Asset reference: Loyalty Card Design - Rustic Poster.",BA-004602,clip-vit-large-patch14-v1,graphic-design,ACC-4534,2026-02-23
EMB-10299,Boutique Storefront - Branded Poster,"A document-style graphic-design presenting a menu layout with typography hierarchy, food category icons, and brand color palette. The asset supports point-of-sale and digital menu board deployment. Asset: Boutique Storefront - Branded Poster.",BA-004602,clip-vit-large-patch14-v1,graphic-design,ACC-4467,2026-01-31
EMB-10300,Email Header Graphic - Lifestyle Logo Lockup,"A product-focused image featuring an espresso bar setup with branded cups, equipment, and menu board visible in the background, shot for coffee shop marketing and hospitality brand discovery. Asset: Email Header Graphic - Lifestyle Logo Lockup.",BA-007928,google-multimodal-embed-v1,image,ACC-4234,2025-12-23
EMB-10301,Email Header Graphic - Product-Focused Video Still,"This graphic-design captures a richly styled Italian food spread featuring handmade pasta dish plated with fresh herbs and parmesan, shot in a rustic editorial style for restaurant dining promotions. The food photography highlights warm tones and texture, making it ideal for menu board and social media use. Asset reference: Email Header Graphic - Product-Focused Video Still.",BA-007928,clip-vit-base-patch32-v2,graphic-design,ACC-3345,2026-02-23
EMB-10302,Virtual Tour Still - Branded Logo Lockup,"This graphic-design showcases a class schedule poster for a fitness studio, featuring action shots of a fitness class in session with dynamic typography and branded color overlays. Suitable for Instagram story templates and in-studio signage. Asset title: Virtual Tour Still - Branded Logo Lockup.",BA-008756,clip-vit-base-patch32-v2,graphic-design,ACC-4234,2025-11-22
EMB-10303,Restaurant Dining Scene - Lifestyle Photo,"A logo-vector graphic-design featuring a simplified icon lockup for a coffee brand, rendered in scalable format for use across coffee shop signage, loyalty cards, and digital brand identity applications. Title: Restaurant Dining Scene - Lifestyle Photo.",BA-006947,openai-ada-002-multimodal,graphic-design,ACC-1412,2026-02-12
EMB-10304,Espresso Bar Setup - Branded Template,"This image captures an architectural diagram of a commercial building facade, rendered in technical line-art style with dimension annotations and material callouts. Intended for construction project documentation. Reference: Espresso Bar Setup - Branded Template.",BA-006947,elastic-elser-v2-visual,image,ACC-5534,2025-12-02
EMB-10305,Italian Food Spread - Saturated Banner,"A product-focused graphic-design featuring an espresso bar setup with branded cups, equipment, and menu board visible in the background, shot for coffee shop marketing and hospitality brand discovery. Asset: Italian Food Spread - Saturated Banner.",BA-007717,clip-vit-large-patch14-v1,graphic-design,ACC-1334,2026-01-26
EMB-10306,Logo Variations Sheet - Minimal Badge,"This image features a loyalty program graphic with loyalty card design elements, QR code placeholder, and brand wordmark, suitable for print and digital loyalty program deployment. Asset reference: Logo Variations Sheet - Minimal Badge.",BA-001032,clip-vit-large-patch14-v1,image,ACC-2289,2025-11-14
EMB-10307,Spring Collection Lookbook - Editorial Banner,"A logo-vector video-frame featuring a simplified icon lockup for a coffee brand, rendered in scalable format for use across coffee shop signage, loyalty cards, and digital brand identity applications. Title: Spring Collection Lookbook - Editorial Banner.",BA-004974,clip-vit-large-patch14-v1,video-frame,ACC-5534,2026-03-03
EMB-10308,Instagram Story Template - Lifestyle Poster,"A graphic-design featuring a watercolor texture background in soft pastel tones, created as a decorative design element for greeting card and invitation templates. No brand-specific content is present. Title: Instagram Story Template - Lifestyle Poster.",BA-003567,clip-vit-large-patch14-v1,graphic-design,ACC-4612,2026-01-22
EMB-10309,Virtual Tour Still - Branded Photo,"This image presents a case study visual with data visualization overlays and branded typography, serving as visual identity collateral for B2B marketing and client presentation decks. Asset reference: Virtual Tour Still - Branded Photo.",BA-003250,google-multimodal-embed-v1,image,ACC-2712,2026-01-24
EMB-10310,Espresso Bar Setup - Warm Illustration,"This graphic-design presents a loyalty program graphic featuring a loyalty card design with brand identity elements, color palette swatches, and a logo lockup. The asset is intended for point-of-sale signage and digital loyalty program collateral. Asset: Espresso Bar Setup - Warm Illustration.",BA-008685,openai-ada-002-multimodal,graphic-design,ACC-3134,2026-01-15
EMB-10311,Pasta Dish Plated - Soft Banner,"A stock photo depicting a generic open-plan office environment with natural light, collaborative workspaces, and unbranded technology equipment visible throughout. This graphic-design serves as a background asset for corporate presentations. Title: Pasta Dish Plated - Soft Banner.",BA-008685,clip-vit-large-patch14-v1,graphic-design,ACC-1001,2026-02-05
EMB-10312,Brand Identity Collateral - Soft Collateral,"This image presents a loyalty program graphic featuring a loyalty card design with brand identity elements, color palette swatches, and a logo lockup. The asset is intended for point-of-sale signage and digital loyalty program collateral. Asset: Brand Identity Collateral - Soft Collateral.",BA-003641,clip-vit-base-patch32-v2,image,ACC-4812,2025-12-06
EMB-10313,Quote Graphic Social Proof - Bold Video Still,This graphic-design shows a macro photograph of a circuit board with electronic components highlighted under studio lighting. Intended for technology product documentation and hardware marketing collateral. Asset: Quote Graphic Social Proof - Bold Video Still.,BA-005110,clip-vit-large-patch14-v1,graphic-design,ACC-4534,2026-02-08
EMB-10314,Menu Board Layout - Saturated Template,"A logo-vector graphic-design featuring a simplified icon lockup for a coffee brand, rendered in scalable format for use across coffee shop signage, loyalty cards, and digital brand identity applications. Title: Menu Board Layout - Saturated Template.",BA-005110,clip-vit-large-patch14-v1,graphic-design,ACC-4234,2026-03-09
EMB-10315,Virtual Tour Still - Candid Logo Lockup,"This image depicts three logo variations for a coffee shop brand, featuring the primary wordmark, a circular badge version, and a simplified icon lockup, all rendered in warm earth tones suitable for menu boards and loyalty cards. The logo-vector asset showcases the brand identity collateral in a clean layout ideal for discovery across digital and print channels. Referenced asset: Virtual Tour Still - Candid Logo Lockup.",BA-005110,clip-vit-large-patch14-v1,logo-vector,ACC-4234,2025-12-08
EMB-10316,Quote Graphic Social Proof - Editorial Graphic,"This image showcases a class schedule poster for a fitness studio, featuring action shots of a fitness class in session with dynamic typography and branded color overlays. Suitable for Instagram story templates and in-studio signage. Asset title: Quote Graphic Social Proof - Editorial Graphic.",BA-002455,clip-vit-base-patch32-v2,image,ACC-1690,2025-12-02
EMB-10317,Seasonal Campaign Visual - Vibrant Video Still,"A nature photography image featuring a mountain landscape at golden hour, with wide-angle composition and atmospheric haze effects. The image serves as a generic stock visual for travel and wellness content. Asset: Seasonal Campaign Visual - Vibrant Video Still.",BA-003705,openai-ada-002-multimodal,image,ACC-2801,2025-12-10
EMB-10318,Instagram Story Template - Artisan Badge,"This image presents a spring fashion flatlay with apparel items arranged in a minimal editorial style, featuring color-coordinated accessories and seasonal campaign visual content framing. Reference: Instagram Story Template - Artisan Badge.",BA-006694,clip-vit-large-patch14-v1,image,ACC-3901,2025-12-15
EMB-10319,Logo Variations Sheet - Branded Photo,"This graphic-design captures a richly styled Italian food spread featuring handmade pasta dish plated with fresh herbs and parmesan, shot in a rustic editorial style for restaurant dining promotions. The food photography highlights warm tones and texture, making it ideal for menu board and social media use. Asset reference: Logo Variations Sheet - Branded Photo.",BA-003735,elastic-elser-v2-visual,graphic-design,ACC-2712,2025-11-13
EMB-10320,Spring Collection Lookbook - Rustic Photo,"A image depicting a restaurant dining scene with Italian food spread, ambient candlelight, and rustic table styling for use in food photography and seasonal campaign collateral. Title: Spring Collection Lookbook - Rustic Photo.",BA-005351,clip-vit-large-patch14-v1,image,ACC-3134,2026-01-18
EMB-10321,Espresso Bar Setup - Lifestyle Badge,"This image presents an abstract geometric pattern in muted blue and grey tones, generated as a background texture asset for general design library use. The composition features repeating hexagonal shapes with subtle gradient overlays. Asset title: Espresso Bar Setup - Lifestyle Badge.",BA-005351,clip-vit-large-patch14-v1,image,ACC-3134,2025-11-16
EMB-10322,Coffee Shop Signage - Editorial Collateral,"A logo-vector image featuring a simplified icon lockup for a coffee brand, rendered in scalable format for use across coffee shop signage, loyalty cards, and digital brand identity applications. Title: Coffee Shop Signage - Editorial Collateral.",BA-007006,clip-vit-base-patch32-v2,image,ACC-4467,2026-03-01
EMB-10323,Case Study Visual - Warm Template,"This graphic-design presents a loyalty program graphic featuring a loyalty card design with brand identity elements, color palette swatches, and a logo lockup. The asset is intended for point-of-sale signage and digital loyalty program collateral. Asset: Case Study Visual - Warm Template.",BA-004611,clip-vit-base-patch32-v2,graphic-design,ACC-4934,2026-02-05
EMB-10324,Discount Badge Graphic - Warm Poster,A visual identity collateral piece featuring logo lockup variations and color palette swatches rendered as a image for brand discovery and asset management workflows. The layout supports multi-channel deployment. Title: Discount Badge Graphic - Warm Poster.,BA-004611,clip-vit-base-patch32-v2,image,ACC-4234,2026-01-25
EMB-10325,Menu Board Layout - Editorial Poster,"This logo-vector showcases a class schedule poster for a fitness studio, featuring action shots of a fitness class in session with dynamic typography and branded color overlays. Suitable for Instagram story templates and in-studio signage. Asset title: Menu Board Layout - Editorial Poster.",BA-007629,clip-vit-large-patch14-v1,logo-vector,ACC-4112,2026-01-01
EMB-10326,Quote Graphic Social Proof - Warm Collateral,A image featuring a time-lapse video still of a busy urban intersection with light trails from passing vehicles captured at night. Generic urban lifestyle content for unspecified editorial use. Reference: Quote Graphic Social Proof - Warm Collateral.,BA-005124,clip-vit-base-patch32-v2,image,ACC-5534,2025-12-03
EMB-10327,Summer Sale Window Display - Dynamic Collateral,"This logo-vector presents a case study visual with data visualization overlays and branded typography, serving as visual identity collateral for B2B marketing and client presentation decks. Asset reference: Summer Sale Window Display - Dynamic Collateral.",BA-007926,clip-vit-large-patch14-v1,logo-vector,ACC-4234,2026-03-08
EMB-10328,Coffee Shop Signage - Lifestyle Badge,A holiday gift display photo featuring curated product arrangements with holiday sale signage and branded ribbon elements. This graphic-design is a seasonal campaign visual for email header graphics and point-of-sale displays. Title: Coffee Shop Signage - Lifestyle Badge.,BA-001309,clip-vit-large-patch14-v1,graphic-design,ACC-4234,2025-11-23
EMB-10329,Fitness Class Action Shot - Vibrant Collateral,"This image captures a video still from a fitness studio workout session, featuring dynamic motion and branded overlay graphics for social media and promotional banner applications. Reference: Fitness Class Action Shot - Vibrant Collateral.",BA-001309,openai-ada-002-multimodal,image,ACC-4234,2026-02-02
EMB-10330,Menu Board Layout - Artisan Photo,"This image presents a modern kitchen interior property photo with clean lines, natural light, and lifestyle staging. The image serves as a virtual tour still and brand identity collateral for real estate and hospitality marketing. Reference: Menu Board Layout - Artisan Photo.",BA-008504,clip-vit-large-patch14-v1,image,ACC-5534,2025-11-11
EMB-10331,Fitness Class Action Shot - Saturated Graphic,"A product-focused image featuring an espresso bar setup with branded cups, equipment, and menu board visible in the background, shot for coffee shop marketing and hospitality brand discovery. Asset: Fitness Class Action Shot - Saturated Graphic.",BA-003020,clip-vit-large-patch14-v1,image,ACC-3901,2025-12-13
EMB-10332,Boutique Storefront - Editorial Illustration,"A technical illustration logo-vector showing a cross-section diagram of an HVAC system installation, with labeled components and airflow direction arrows. Created for engineering documentation purposes. Reference: Boutique Storefront - Editorial Illustration.",BA-004787,clip-vit-base-patch32-v2,logo-vector,ACC-4234,2026-02-25
EMB-10333,Summer Sale Window Display - Branded Graphic,"This logo-vector depicts a data dashboard screenshot with bar charts, pie graphs, and KPI metric cards in a SaaS analytics interface. The visual is used for software product documentation and UI design reference. Title: Summer Sale Window Display - Branded Graphic.",BA-004787,clip-vit-base-patch32-v2,logo-vector,ACC-1001,2025-12-12
EMB-10334,Promotional Banner - Artisan Collateral,"This logo-vector presents a loyalty program graphic featuring a loyalty card design with brand identity elements, color palette swatches, and a logo lockup. The asset is intended for point-of-sale signage and digital loyalty program collateral. Asset: Promotional Banner - Artisan Collateral.",BA-004787,clip-vit-base-patch32-v2,logo-vector,ACC-1902,2026-02-05
EMB-10335,Summer Sale Window Display - Bold Template,"A lifestyle graphic-design capturing a customer testimonial scene in a coffee shop setting, with warm ambient lighting and branded environmental signage visible in the background. Reference: Summer Sale Window Display - Bold Template.",BA-003930,clip-vit-large-patch14-v1,graphic-design,ACC-5534,2026-01-05
EMB-10336,Promotional Banner - Bold Template,A image featuring a time-lapse video still of a busy urban intersection with light trails from passing vehicles captured at night. Generic urban lifestyle content for unspecified editorial use. Reference: Promotional Banner - Bold Template.,BA-003930,clip-vit-large-patch14-v1,image,ACC-3134,2025-12-29
EMB-10337,Salad Bowl Overhead - Rustic Graphic,"A graphic-design depicting a restaurant dining scene with Italian food spread, ambient candlelight, and rustic table styling for use in food photography and seasonal campaign collateral. Title: Salad Bowl Overhead - Rustic Graphic.",BA-001969,google-multimodal-embed-v1,graphic-design,ACC-4934,2025-12-19
EMB-10338,Instagram Story Template - Rustic Graphic,"A lifestyle image capturing a customer testimonial scene in a coffee shop setting, with warm ambient lighting and branded environmental signage visible in the background. Reference: Instagram Story Template - Rustic Graphic.",BA-001969,google-multimodal-embed-v1,image,ACC-5534,2025-11-28
EMB-10339,Loyalty Card Design - Branded Template,This image shows a macro photograph of a circuit board with electronic components highlighted under studio lighting. Intended for technology product documentation and hardware marketing collateral. Asset: Loyalty Card Design - Branded Template.,BA-001969,clip-vit-base-patch32-v2,image,ACC-4234,2025-12-11
EMB-10340,Spring Fashion Flatlay - Warm Poster,"A crisp product photo of an espresso cup on a marble surface, captured in a product-focused style for e-commerce imagery and promotional graphic use. This image highlights the coffee shop aesthetic with clean composition and warm lighting. Reference: Spring Fashion Flatlay - Warm Poster.",BA-001749,google-multimodal-embed-v1,image,ACC-1412,2025-11-12
EMB-10341,Seasonal Campaign Visual - Warm Template,"This image presents a minimalist black-and-white portrait photograph of an unidentified person in profile view, shot in a studio setting with dramatic side lighting. Generic editorial portrait for unspecified use. Reference: Seasonal Campaign Visual - Warm Template.",BA-005673,clip-vit-base-patch32-v2,image,ACC-4234,2025-12-23
EMB-10342,Summer Sale Window Display - Clean Logo Lockup,"This graphic-design features culinary imagery of a plated salad bowl captured overhead with natural lighting and artisan styling, suitable for use in campaign visual content and point-of-sale signage across restaurant channels. Asset reference: Summer Sale Window Display - Clean Logo Lockup.",BA-005673,clip-vit-large-patch14-v1,graphic-design,ACC-1902,2025-12-07
EMB-10343,Salad Bowl Overhead - Editorial Poster,A visual identity collateral piece featuring logo lockup variations and color palette swatches rendered as a image for brand discovery and asset management workflows. The layout supports multi-channel deployment. Title: Salad Bowl Overhead - Editorial Poster.,BA-005673,elastic-elser-v2-visual,image,ACC-4534,2025-11-27
EMB-10344,Email Header Graphic - Clean Template,"This image depicts a promotional graphic for a holiday sale event, featuring gift imagery, seasonal typography, and a discount badge overlay for email header and social media use. Asset: Email Header Graphic - Clean Template.",BA-007437,clip-vit-large-patch14-v1,image,ACC-5534,2025-11-17
EMB-10345,Restaurant Dining Scene - Dynamic Video Still,"This image depicts a promotional graphic for a holiday sale event, featuring gift imagery, seasonal typography, and a discount badge overlay for email header and social media use. Asset: Restaurant Dining Scene - Dynamic Video Still.",BA-002976,clip-vit-large-patch14-v1,image,ACC-4312,2026-01-20
EMB-10346,Discount Badge Graphic - Saturated Banner,"A graphic-design depicting a children's book illustration style artwork featuring cartoon animals in a forest setting, rendered in bright primary colors. Created for educational publishing and youth content. Title: Discount Badge Graphic - Saturated Banner.",BA-005967,clip-vit-base-patch32-v2,graphic-design,ACC-1334,2026-01-25
EMB-10347,Email Header Graphic - Lifestyle Logo Lockup,"This video-frame showcases a class schedule poster for a fitness studio, featuring action shots of a fitness class in session with dynamic typography and branded color overlays. Suitable for Instagram story templates and in-studio signage. Asset title: Email Header Graphic - Lifestyle Logo Lockup.",BA-008789,clip-vit-base-patch32-v2,video-frame,ACC-4234,2026-02-02
EMB-10348,Holiday Gift Display - Minimal Illustration,"A image depicting a scientific infographic about cellular biology, featuring labeled diagrams of cell structures and process flow annotations. Created for educational content and medical publication use. Asset: Holiday Gift Display - Minimal Illustration.",BA-008789,clip-vit-base-patch32-v2,image,ACC-4234,2026-02-12
EMB-10349,Brand Identity Collateral - Product-Focused Poster,"A image depicting a children's book illustration style artwork featuring cartoon animals in a forest setting, rendered in bright primary colors. Created for educational publishing and youth content. Title: Brand Identity Collateral - Product-Focused Poster.",BA-008789,google-multimodal-embed-v1,image,ACC-5467,2026-03-02
EMB-10350,Modern Kitchen Interior - Soft Collateral,"A image featuring a watercolor texture background in soft pastel tones, created as a decorative design element for greeting card and invitation templates. No brand-specific content is present. Title: Modern Kitchen Interior - Soft Collateral.",BA-008333,clip-vit-base-patch32-v2,image,ACC-3901,2025-11-17
EMB-10351,Brand Identity Collateral - Vibrant Photo,"A document-style graphic-design presenting a menu layout with typography hierarchy, food category icons, and brand color palette. The asset supports point-of-sale and digital menu board deployment. Asset: Brand Identity Collateral - Vibrant Photo.",BA-008751,clip-vit-base-patch32-v2,graphic-design,ACC-4312,2026-03-06
EMB-10352,Quote Graphic Social Proof - Product-Focused Logo Lockup,"This logo-vector features a loyalty program graphic with loyalty card design elements, QR code placeholder, and brand wordmark, suitable for print and digital loyalty program deployment. Asset reference: Quote Graphic Social Proof - Product-Focused Logo Lockup.",BA-008751,clip-vit-base-patch32-v2,logo-vector,ACC-3345,2026-02-06
EMB-10353,Modern Kitchen Interior - Vibrant Photo,"This image captures a richly styled Italian food spread featuring handmade pasta dish plated with fresh herbs and parmesan, shot in a rustic editorial style for restaurant dining promotions. The food photography highlights warm tones and texture, making it ideal for menu board and social media use. Asset reference: Modern Kitchen Interior - Vibrant Photo.",BA-003451,clip-vit-large-patch14-v1,image,ACC-5678,2026-02-26
EMB-10354,Class Schedule Poster - Warm Graphic,"This image features culinary imagery of a plated salad bowl captured overhead with natural lighting and artisan styling, suitable for use in campaign visual content and point-of-sale signage across restaurant channels. Asset reference: Class Schedule Poster - Warm Graphic.",BA-003451,openai-ada-002-multimodal,image,ACC-4534,2025-12-23
EMB-10355,Loyalty Card Design - Clean Illustration,This image shows a macro photograph of a circuit board with electronic components highlighted under studio lighting. Intended for technology product documentation and hardware marketing collateral. Asset: Loyalty Card Design - Clean Illustration.,BA-008589,clip-vit-large-patch14-v1,image,ACC-2934,2025-12-22
EMB-10356,Virtual Tour Still - Minimal Video Still,"This graphic-design captures a bird's-eye aerial photograph of a suburban neighborhood taken during daylight hours, showing residential streets and green spaces. Intended for urban planning and real estate overview use. Reference: Virtual Tour Still - Minimal Video Still.",BA-003922,clip-vit-large-patch14-v1,graphic-design,ACC-5534,2025-11-23
EMB-10357,Holiday Gift Display - Soft Photo,"A spring collection lookbook flatlay featuring boutique apparel laid out in an editorial style, with pastel color palette and soft natural lighting. This document-visual serves as a fashion photo for seasonal campaign and social proof content. Referenced: Holiday Gift Display - Soft Photo.",BA-002329,clip-vit-large-patch14-v1,document-visual,ACC-2034,2026-01-16
EMB-10358,Spring Collection Lookbook - Candid Illustration,"This graphic-design presents a minimalist black-and-white portrait photograph of an unidentified person in profile view, shot in a studio setting with dramatic side lighting. Generic editorial portrait for unspecified use. Reference: Spring Collection Lookbook - Candid Illustration.",BA-001402,openai-ada-002-multimodal,graphic-design,ACC-2345,2026-01-16
EMB-10359,Property Photo Exterior - Clean Collateral,"This image features culinary imagery of a plated salad bowl captured overhead with natural lighting and artisan styling, suitable for use in campaign visual content and point-of-sale signage across restaurant channels. Asset reference: Property Photo Exterior - Clean Collateral.",BA-001402,elastic-elser-v2-visual,image,ACC-2712,2026-02-27
EMB-10360,Summer Sale Window Display - Rustic Template,"This image presents a flat-lay photograph of office stationery items including notebooks, pens, and sticky notes arranged on a white surface. Generic business lifestyle imagery for unspecified corporate use. Asset: Summer Sale Window Display - Rustic Template.",BA-007890,google-multimodal-embed-v1,image,ACC-4112,2025-11-29
EMB-10361,Virtual Tour Still - Branded Photo,"A graphic-design depicting a children's book illustration style artwork featuring cartoon animals in a forest setting, rendered in bright primary colors. Created for educational publishing and youth content. Title: Virtual Tour Still - Branded Photo.",BA-007451,clip-vit-base-patch32-v2,graphic-design,ACC-1001,2025-12-05
EMB-10362,Virtual Tour Still - Artisan Collateral,"This image showcases an Instagram story template design with bold geometric frames, brand color palette, and placeholder text zones for campaign visual content deployment. Title: Virtual Tour Still - Artisan Collateral.",BA-002734,clip-vit-base-patch32-v2,image,ACC-4234,2026-02-24
EMB-10363,Quote Graphic Social Proof - Dynamic Illustration,"This image features a loyalty program graphic with loyalty card design elements, QR code placeholder, and brand wordmark, suitable for print and digital loyalty program deployment. Asset reference: Quote Graphic Social Proof - Dynamic Illustration.",BA-004110,clip-vit-base-patch32-v2,image,ACC-3901,2026-02-14
EMB-10364,Class Schedule Poster - Lifestyle Illustration,This image shows a macro photograph of a circuit board with electronic components highlighted under studio lighting. Intended for technology product documentation and hardware marketing collateral. Asset: Class Schedule Poster - Lifestyle Illustration.,BA-005172,clip-vit-base-patch32-v2,image,ACC-5334,2026-02-07
EMB-10365,Apparel Product Flatlay - Candid Photo,A visual identity collateral piece featuring logo lockup variations and color palette swatches rendered as a document-visual for brand discovery and asset management workflows. The layout supports multi-channel deployment. Title: Apparel Product Flatlay - Candid Photo.,BA-004172,clip-vit-base-patch32-v2,document-visual,ACC-5534,2025-12-30
EMB-10366,Summer Sale Window Display - Branded Template,"This graphic-design captures a richly styled Italian food spread featuring handmade pasta dish plated with fresh herbs and parmesan, shot in a rustic editorial style for restaurant dining promotions. The food photography highlights warm tones and texture, making it ideal for menu board and social media use. Asset reference: Summer Sale Window Display - Branded Template.",BA-004172,clip-vit-large-patch14-v1,graphic-design,ACC-5467,2026-02-03
EMB-10367,Apparel Product Flatlay - Branded Graphic,"A vibrant promotional banner graphic for a summer promotion campaign, featuring bold typography, a discount badge overlay, and lifestyle imagery of a coffee shop storefront. This image is designed as an Instagram story template and email header graphic for seasonal campaign use. See also: Apparel Product Flatlay - Branded Graphic.",BA-004628,clip-vit-base-patch32-v2,image,ACC-4234,2026-03-06
EMB-10368,Coffee Cup Close-Up - Editorial Illustration,"This image captures an architectural diagram of a commercial building facade, rendered in technical line-art style with dimension annotations and material callouts. Intended for construction project documentation. Reference: Coffee Cup Close-Up - Editorial Illustration.",BA-003509,openai-ada-002-multimodal,image,ACC-2567,2025-12-30
EMB-10369,Fitness Class Action Shot - Saturated Illustration,"A spring collection lookbook flatlay featuring boutique apparel laid out in an editorial style, with pastel color palette and soft natural lighting. This document-visual serves as a fashion photo for seasonal campaign and social proof content. Referenced: Fitness Class Action Shot - Saturated Illustration.",BA-005140,clip-vit-base-patch32-v2,document-visual,ACC-2712,2026-02-24
EMB-10370,Fitness Class Action Shot - Rustic Logo Lockup,"This video-frame showcases an Instagram story template design with bold geometric frames, brand color palette, and placeholder text zones for campaign visual content deployment. Title: Fitness Class Action Shot - Rustic Logo Lockup.",BA-004057,clip-vit-large-patch14-v1,video-frame,ACC-5534,2026-02-27
EMB-10371,Fitness Class Action Shot - Candid Graphic,"This image features a loyalty program graphic with loyalty card design elements, QR code placeholder, and brand wordmark, suitable for print and digital loyalty program deployment. Asset reference: Fitness Class Action Shot - Candid Graphic.",BA-003967,clip-vit-base-patch32-v2,image,ACC-3134,2026-01-13
EMB-10372,Instagram Story Template - Artisan Graphic,"This document-visual presents a flat-lay photograph of office stationery items including notebooks, pens, and sticky notes arranged on a white surface. Generic business lifestyle imagery for unspecified corporate use. Asset: Instagram Story Template - Artisan Graphic.",BA-003967,clip-vit-large-patch14-v1,document-visual,ACC-4534,2026-01-14
EMB-10373,Seasonal Campaign Visual - Artisan Poster,"This graphic-design features a loyalty program graphic with loyalty card design elements, QR code placeholder, and brand wordmark, suitable for print and digital loyalty program deployment. Asset reference: Seasonal Campaign Visual - Artisan Poster.",BA-003967,clip-vit-large-patch14-v1,graphic-design,ACC-4534,2025-11-15
EMB-10374,Fitness Class Action Shot - Lifestyle Collateral,"This image presents a loyalty program graphic featuring a loyalty card design with brand identity elements, color palette swatches, and a logo lockup. The asset is intended for point-of-sale signage and digital loyalty program collateral. Asset: Fitness Class Action Shot - Lifestyle Collateral.",BA-007400,openai-ada-002-multimodal,image,ACC-5534,2026-01-20
EMB-10375,Virtual Tour Still - Saturated Graphic,"This image presents a loyalty program graphic featuring a loyalty card design with brand identity elements, color palette swatches, and a logo lockup. The asset is intended for point-of-sale signage and digital loyalty program collateral. Asset: Virtual Tour Still - Saturated Graphic.",BA-007400,openai-ada-002-multimodal,image,ACC-4534,2026-01-18
EMB-10376,Instagram Story Template - Soft Photo,"A product-focused graphic-design featuring an espresso bar setup with branded cups, equipment, and menu board visible in the background, shot for coffee shop marketing and hospitality brand discovery. Asset: Instagram Story Template - Soft Photo.",BA-002434,google-multimodal-embed-v1,graphic-design,ACC-4234,2025-12-01
EMB-10377,Quote Graphic Social Proof - Bold Badge,"This image captures a bird's-eye aerial photograph of a suburban neighborhood taken during daylight hours, showing residential streets and green spaces. Intended for urban planning and real estate overview use. Reference: Quote Graphic Social Proof - Bold Badge.",BA-005197,clip-vit-base-patch32-v2,image,ACC-4234,2026-01-13
EMB-10378,Holiday Gift Display - Product-Focused Photo,"This image depicts a customer testimonial quote graphic with a candid customer smiling portrait, overlaid with branded typography and social proof messaging. Designed for Instagram story and promotional banner use. Asset: Holiday Gift Display - Product-Focused Photo.",BA-005509,clip-vit-base-patch32-v2,image,ACC-5534,2026-03-01
EMB-10379,Italian Food Spread - Saturated Graphic,"This graphic-design captures a video still from a fitness studio workout session, featuring dynamic motion and branded overlay graphics for social media and promotional banner applications. Reference: Italian Food Spread - Saturated Graphic.",BA-005509,clip-vit-large-patch14-v1,graphic-design,ACC-1412,2026-02-04
EMB-10380,Holiday Gift Display - Branded Graphic,"A lifestyle video-frame capturing a customer testimonial scene in a coffee shop setting, with warm ambient lighting and branded environmental signage visible in the background. Reference: Holiday Gift Display - Branded Graphic.",BA-001053,clip-vit-base-patch32-v2,video-frame,ACC-1578,2026-01-04
EMB-10381,Salad Bowl Overhead - Product-Focused Poster,"A stock photo depicting a generic open-plan office environment with natural light, collaborative workspaces, and unbranded technology equipment visible throughout. This logo-vector serves as a background asset for corporate presentations. Title: Salad Bowl Overhead - Product-Focused Poster.",BA-001053,clip-vit-base-patch32-v2,logo-vector,ACC-4234,2026-01-02
EMB-10382,Class Schedule Poster - Lifestyle Graphic,"A logo-vector image featuring a simplified icon lockup for a coffee brand, rendered in scalable format for use across coffee shop signage, loyalty cards, and digital brand identity applications. Title: Class Schedule Poster - Lifestyle Graphic.",BA-004237,clip-vit-base-patch32-v2,image,ACC-5134,2025-11-15
EMB-10383,Holiday Gift Display - Branded Photo,"This document-visual presents a flat-lay photograph of office stationery items including notebooks, pens, and sticky notes arranged on a white surface. Generic business lifestyle imagery for unspecified corporate use. Asset: Holiday Gift Display - Branded Photo.",BA-008156,openai-ada-002-multimodal,document-visual,ACC-4234,2025-12-07
