asset_id,asset_title,asset_description,asset_type,content_category,business_vertical,campaign_theme,color_palette_tags,file_format,owner_account_id,is_active,upload_date,reuse_count,aspect_ratio
BA-100189,Neighborhood Store Logo - Season's Best,"This Logo was created to support General Small Business marketing efforts during the Holiday Sale campaign period. Using a deep-burgundy-cream visual style, the asset functions as promotional content across digital channels. The design balances brand materials with campaign-specific visual collateral, ensuring consistency across touchpoints. It is suitable for use in business signage, social content, and marketing graphics deployments.",Logo,Social Media Content,General Small Business,Holiday Sale,"['deep-burgundy-cream', 'fresh-green-white']",PNG,ACC-1025,True,2026-01-02,10,9:16
BA-100190,Electronics Shop Case Study Layout - Community Love,"A high-impact Case Study Layout built for Retail & E-commerce marketing, showcasing Italian food and pasta imagery within a electric-neon visual theme. This brand asset supports menu board design, restaurant dining collateral, and promotional banner placements. The asset includes logo variations aligned with the Community Spotlight campaign and is suited for food and beverage imagery across social media graphic formats. Designed to drive engagement through loyalty program graphics and seasonal campaign messaging.",Case Study Layout,Lifestyle & Editorial,Retail & E-commerce,Community Spotlight,['electric-neon'],PNG,ACC-1037,True,2025-12-27,51,3:2
BA-100191,Home Goods Store Loyalty Card - Fall Flavors,"Built for Retail & E-commerce brands executing a Fall Harvest strategy, this Loyalty Card delivers clean visual collateral with a cool-blue-silver palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Loyalty Card,Seasonal Promotion,Retail & E-commerce,Fall Harvest,"['cool-blue-silver', 'olive-terracotta']",PNG,ACC-1001,True,2026-01-02,0,1:1
BA-100192,Resort Promotional Banner - Autumn Harvest,This Promotional Banner represents a draft-stage design asset for Hospitality stakeholders. The blush-rose-gold palette was specified in the creative brief but has not been finalized. It is catalogued under Fall Harvest pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Promotional Banner,Lifestyle & Editorial,Hospitality,Fall Harvest,"['blush-rose-gold', 'deep-burgundy-cream']",PNG,ACC-1012,True,2026-02-10,5,3:2
BA-100193,Italian Kitchen Menu Board - Authentic Italian,This Menu Board represents a draft-stage design asset for Food & Beverage stakeholders. The blush-rose-gold palette was specified in the creative brief but has not been finalized. It is catalogued under Italian Cuisine Feature pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Menu Board,Seasonal Promotion,Food & Beverage,Italian Cuisine Feature,['blush-rose-gold'],PDF,ACC-1023,True,2026-01-12,45,4:3
BA-100194,Fashion Brand Business Card - Summer Refresh,"This Business Card was created to support Fashion & Apparel marketing efforts during the Summer Promotion campaign period. Using a rich-chocolate-caramel visual style, the asset functions as promotional content across digital channels. The design balances brand materials with campaign-specific visual collateral, ensuring consistency across touchpoints. It is suitable for use in business signage, social content, and marketing graphics deployments.",Business Card,Lifestyle & Editorial,Fashion & Apparel,Summer Promotion,"['rich-chocolate-caramel', 'forest-green-gold']",PNG,ACC-1016,True,2025-12-26,5,16:9
BA-100195,Neighborhood Store Promotional Banner - Rewards Program,An archived Promotional Banner resource associated with General Small Business operations and the Loyalty Program initiative. Color tagging reflects the sky-blue-white palette used during the original design phase. This item is retained in the catalog for historical reference and potential future reuse. No active campaign deployment is currently scheduled for this asset.,Promotional Banner,Lifestyle & Editorial,General Small Business,Loyalty Program,"['sky-blue-white', 'sunset-orange-coral']",MP4,ACC-1041,True,2026-02-02,12,9:16
BA-100196,Salon Case Study Layout - Cold Weather Comfort,An archived Case Study Layout resource associated with Healthcare & Beauty operations and the Winter Warmth initiative. Color tagging reflects the bold-red-gold palette used during the original design phase. This item is retained in the catalog for historical reference and potential future reuse. No active campaign deployment is currently scheduled for this asset.,Case Study Layout,Email Marketing,Healthcare & Beauty,Winter Warmth,"['bold-red-gold', 'rich-chocolate-caramel']",AI,ACC-1003,True,2025-11-19,32,16:9
BA-100197,Boutique Email Template Header - New Arrival,"A high-impact Email Template Header built for Retail & E-commerce marketing, showcasing Italian food and pasta imagery within a vibrant-tropical visual theme. This brand asset supports menu board design, restaurant dining collateral, and promotional banner placements. The asset includes logo variations aligned with the Product Launch campaign and is suited for food and beverage imagery across social media graphic formats. Designed to drive engagement through loyalty program graphics and seasonal campaign messaging.",Email Template Header,Product Showcase,Retail & E-commerce,Product Launch,"['vibrant-tropical', 'cool-blue-silver']",PNG,ACC-1015,True,2026-01-01,38,9:16
BA-100198,Coffee Shop Business Card - Members Only,This Business Card is a general-purpose design template available for Food & Beverage use cases. The olive-terracotta color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the VIP Member Exclusive campaign classification for archival purposes.,Business Card,Social Media Content,Food & Beverage,VIP Member Exclusive,"['olive-terracotta', 'lavender-lilac', 'muted-sage-taupe']",PNG,ACC-1002,True,2025-12-19,0,16:9
BA-100199,Style Studio Quote Graphic - Autumn Harvest,"This Quote Graphic is a core brand identity asset designed for Fashion & Apparel businesses, featuring bright-citrus-yellow color palette. It includes logo variations and menu board layouts optimized for Fall Harvest campaigns. The collateral supports food and beverage signage, loyalty program graphics, and Instagram story templates. Ideal for seasonal promotions including summer promotion and holiday sale contexts across digital and print channels.",Quote Graphic,Product Showcase,Fashion & Apparel,Fall Harvest,"['bright-citrus-yellow', 'charcoal-white-minimal']",JPEG,ACC-1005,True,2026-02-26,94,16:9
BA-100200,CrossFit Box Social Media Graphic - Festive Sale,A standard Social Media Graphic asset catalogued under the Fitness & Wellness vertical for organizational reference. Color properties follow the fresh-green-white specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Holiday Sale campaign grouping. No additional design customization was applied beyond baseline template defaults.,Social Media Graphic,Customer Testimonial,Fitness & Wellness,Holiday Sale,['fresh-green-white'],JPEG,ACC-1036,True,2025-12-07,31,4:5
BA-100201,Fitness Studio Business Card - Winter Warmup,This Business Card is a general-purpose design template available for Fitness & Wellness use cases. The olive-terracotta color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the Winter Warmth campaign classification for archival purposes.,Business Card,Seasonal Promotion,Fitness & Wellness,Winter Warmth,['olive-terracotta'],GIF,ACC-1007,True,2025-11-18,15,16:9
BA-100202,Community Shop Social Media Graphic - Elite Perks,"This Social Media Graphic is a core brand identity asset designed for General Small Business businesses, featuring sky-blue-white color palette. It includes logo variations and menu board layouts optimized for VIP Member Exclusive campaigns. The collateral supports food and beverage signage, loyalty program graphics, and Instagram story templates. Ideal for seasonal promotions including summer promotion and holiday sale contexts across digital and print channels.",Social Media Graphic,Seasonal Promotion,General Small Business,VIP Member Exclusive,"['sky-blue-white', 'forest-green-gold', 'sunset-orange-coral']",PNG,ACC-1004,True,2025-12-19,13,9:16
BA-100203,Food Truck Quote Graphic - Modern Rebrand,An archived Quote Graphic resource associated with Food & Beverage operations and the Brand Refresh initiative. Color tagging reflects the olive-terracotta palette used during the original design phase. This item is retained in the catalog for historical reference and potential future reuse. No active campaign deployment is currently scheduled for this asset.,Quote Graphic,Customer Testimonial,Food & Beverage,Brand Refresh,"['olive-terracotta', 'blush-rose-gold']",JPEG,ACC-1049,True,2026-01-14,8,16:9
BA-100204,App Brand Class Schedule - Festive Sale,"A polished Class Schedule asset tailored for SaaS & Technology use cases, aligned with the Holiday Sale campaign narrative. The warm-earth-tones color treatment gives this marketing material a distinctive look that supports brand consistency. This promotional graphic works well as campaign collateral across email, web, and print environments. The visual identity elements have been refined to suit both digital-first and physical marketing contexts.",Class Schedule,Food & Beverage Imagery,SaaS & Technology,Holiday Sale,"['warm-earth-tones', 'fresh-green-white']",PDF,ACC-1003,True,2026-01-07,32,4:5
BA-100205,Tech Startup Instagram Story Template - New Year Offer,This Instagram Story Template is a general-purpose design template available for SaaS & Technology use cases. The navy-gold-premium color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the New Year New You campaign classification for archival purposes.,Instagram Story Template,Seasonal Promotion,SaaS & Technology,New Year New You,['navy-gold-premium'],SVG,ACC-1029,True,2026-02-04,18,1:1
BA-100206,Gift Shop Event Poster - Italian Flavors,"Built for Retail & E-commerce brands executing a Italian Cuisine Feature strategy, this Event Poster delivers clean visual collateral with a lavender-lilac palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Event Poster,Customer Testimonial,Retail & E-commerce,Italian Cuisine Feature,['lavender-lilac'],PNG,ACC-1011,True,2026-01-27,4,4:5
BA-100207,Pizzeria Business Card - Summer Vibes,A standard Business Card asset catalogued under the Food & Beverage vertical for organizational reference. Color properties follow the muted-sage-taupe specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Summer Promotion campaign grouping. No additional design customization was applied beyond baseline template defaults.,Business Card,Social Media Content,Food & Beverage,Summer Promotion,"['muted-sage-taupe', 'sky-blue-white', 'navy-gold-premium']",PDF,ACC-1037,True,2026-02-02,11,3:2
BA-100208,Cafe Menu Board - Happy Clients,"A campaign-ready Menu Board developed for Food & Beverage businesses participating in Customer Testimonial Campaign initiatives. The pastel-spring palette drives visual cohesion across this suite of promotional content and brand materials. This marketing graphic is engineered for multi-channel deployment, from social content to email marketing assets. It reflects current design standards for business signage and digital visual collateral in competitive verticals.",Menu Board,Event & Campaign,Food & Beverage,Customer Testimonial Campaign,['pastel-spring'],JPEG,ACC-1039,True,2025-12-28,1,16:9
BA-100209,Vacation Rental Product Photo - Fresh Spring Looks,An archived Product Photo resource associated with Hospitality operations and the Spring Collection initiative. Color tagging reflects the bright-citrus-yellow palette used during the original design phase. This item is retained in the catalog for historical reference and potential future reuse. No active campaign deployment is currently scheduled for this asset.,Product Photo,Customer Testimonial,Hospitality,Spring Collection,['bright-citrus-yellow'],PNG,ACC-1048,True,2025-12-18,11,9:16
BA-100210,Coffee Shop Video Clip - Loyalty Rewards,A standard Video Clip asset catalogued under the Food & Beverage vertical for organizational reference. Color properties follow the fresh-green-white specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Loyalty Program campaign grouping. No additional design customization was applied beyond baseline template defaults.,Video Clip,Social Media Content,Food & Beverage,Loyalty Program,"['fresh-green-white', 'olive-terracotta']",PNG,ACC-1009,True,2026-01-30,2,9:16
BA-100211,Fashion Brand Social Media Graphic - Eco-Friendly,This Social Media Graphic is a general-purpose design template available for Fashion & Apparel use cases. The rich-chocolate-caramel color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the Sustainability Initiative campaign classification for archival purposes.,Social Media Graphic,Food & Beverage Imagery,Fashion & Apparel,Sustainability Initiative,['rich-chocolate-caramel'],AI,ACC-1012,True,2025-11-12,5,1:1
BA-100212,Property Group Flyer - Valentine's Love,This Flyer represents a draft-stage design asset for Real Estate stakeholders. The sky-blue-white palette was specified in the creative brief but has not been finalized. It is catalogued under Valentine's Day Special pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Flyer,Food & Beverage Imagery,Real Estate,Valentine's Day Special,"['sky-blue-white', 'bold-red-gold']",SVG,ACC-1001,True,2026-01-12,3,1:1
BA-100213,Sushi Bar Social Media Graphic - Rewards Program,"A versatile Social Media Graphic crafted for Food & Beverage businesses, this asset anchors the Loyalty Program campaign with a bold lavender-lilac aesthetic. It encompasses logo variations, loyalty card graphics, and promotional banner formats for both digital and physical signage. Coffee shop signage, modern kitchen imagery, and spring collection themes are woven into the visual identity. The asset supports email marketing, menu board display, and brand refresh initiatives simultaneously.",Social Media Graphic,Social Media Content,Food & Beverage,Loyalty Program,['lavender-lilac'],PDF,ACC-1014,True,2026-02-23,6,1:1
BA-100214,SaaS Platform Infographic - Fall Collection,Generic Infographic template stored in the asset library for SaaS & Technology account holders. The vibrant-tropical palette designation was auto-assigned during the upload workflow. This asset is classified under Fall Harvest for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Infographic,Brand Identity,SaaS & Technology,Fall Harvest,['vibrant-tropical'],PSD,ACC-1001,True,2026-01-31,2,4:5
BA-100215,Law Firm Logo - Influencer Feature,"A campaign-ready Logo developed for Professional Services businesses participating in Influencer Collab initiatives. The pastel-spring palette drives visual cohesion across this suite of promotional content and brand materials. This marketing graphic is engineered for multi-channel deployment, from social content to email marketing assets. It reflects current design standards for business signage and digital visual collateral in competitive verticals.",Logo,Business Operations,Professional Services,Influencer Collab,['pastel-spring'],PNG,ACC-1002,True,2025-12-25,1,3:2
BA-100216,Bed & Breakfast Promotional Banner - Holiday Special,"A campaign-ready Promotional Banner developed for Hospitality businesses participating in Holiday Sale initiatives. The sky-blue-white palette drives visual cohesion across this suite of promotional content and brand materials. This marketing graphic is engineered for multi-channel deployment, from social content to email marketing assets. It reflects current design standards for business signage and digital visual collateral in competitive verticals.",Promotional Banner,Loyalty & Rewards,Hospitality,Holiday Sale,['sky-blue-white'],PNG,ACC-1041,True,2025-11-15,3,16:9
BA-100217,Bakery Menu Board - Summer Sale,"Built for Food & Beverage brands executing a Summer Promotion strategy, this Menu Board delivers clean visual collateral with a lavender-lilac palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Menu Board,Seasonal Promotion,Food & Beverage,Summer Promotion,['lavender-lilac'],PSD,ACC-1038,True,2026-03-03,62,1:1
BA-100218,Style Studio Video Clip - Campus Ready,An archived Video Clip resource associated with Fashion & Apparel operations and the Back to School initiative. Color tagging reflects the muted-sage-taupe palette used during the original design phase. This item is retained in the catalog for historical reference and potential future reuse. No active campaign deployment is currently scheduled for this asset.,Video Clip,Food & Beverage Imagery,Fashion & Apparel,Back to School,"['muted-sage-taupe', 'pastel-spring', 'lavender-lilac']",JPEG,ACC-1008,True,2025-12-17,1,4:5
BA-100219,Gym Email Template Header - Eco-Friendly,"This Email Template Header is a core brand identity asset designed for Fitness & Wellness businesses, featuring cool-blue-silver color palette. It includes logo variations and menu board layouts optimized for Sustainability Initiative campaigns. The collateral supports food and beverage signage, loyalty program graphics, and Instagram story templates. Ideal for seasonal promotions including summer promotion and holiday sale contexts across digital and print channels.",Email Template Header,Seasonal Promotion,Fitness & Wellness,Sustainability Initiative,"['cool-blue-silver', 'blush-rose-gold']",PNG,ACC-1007,True,2025-12-29,4,3:2
BA-100220,Resort Email Template Header - Flash Deal,"This Email Template Header was created to support Hospitality marketing efforts during the Flash Sale campaign period. Using a rich-chocolate-caramel visual style, the asset functions as promotional content across digital channels. The design balances brand materials with campaign-specific visual collateral, ensuring consistency across touchpoints. It is suitable for use in business signage, social content, and marketing graphics deployments.",Email Template Header,Social Media Content,Hospitality,Flash Sale,['rich-chocolate-caramel'],SVG,ACC-1039,True,2026-03-04,30,9:16
BA-100221,Wellness Center Infographic - Loyalty Rewards,Generic Infographic template stored in the asset library for Fitness & Wellness account holders. The sunset-orange-coral palette designation was auto-assigned during the upload workflow. This asset is classified under Loyalty Program for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Infographic,Lifestyle & Editorial,Fitness & Wellness,Loyalty Program,"['sunset-orange-coral', 'cool-blue-silver']",MP4,ACC-1002,True,2026-02-19,7,16:9
BA-100222,Online Store Social Media Graphic - New Location,A standard Social Media Graphic asset catalogued under the Retail & E-commerce vertical for organizational reference. Color properties follow the rich-chocolate-caramel specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the New Location Launch campaign grouping. No additional design customization was applied beyond baseline template defaults.,Social Media Graphic,Product Showcase,Retail & E-commerce,New Location Launch,"['rich-chocolate-caramel', 'warm-earth-tones']",PDF,ACC-1016,False,2026-01-29,4,1:1
BA-100223,Food Truck Loyalty Card - Holiday Special,This Loyalty Card represents a draft-stage design asset for Food & Beverage stakeholders. The rich-chocolate-caramel palette was specified in the creative brief but has not been finalized. It is catalogued under Holiday Sale pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Loyalty Card,Business Operations,Food & Beverage,Holiday Sale,['rich-chocolate-caramel'],PDF,ACC-1039,True,2026-02-07,8,4:5
BA-100224,Coffee Shop Menu Board - Hot Summer Deals,A standard Menu Board asset catalogued under the Food & Beverage vertical for organizational reference. Color properties follow the monochrome-black-white specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Summer Promotion campaign grouping. No additional design customization was applied beyond baseline template defaults.,Menu Board,Seasonal Promotion,Food & Beverage,Summer Promotion,['monochrome-black-white'],JPEG,ACC-1015,True,2025-12-18,25,1:1
BA-100225,Restaurant Quote Graphic - Local Heroes,"This Quote Graphic was created to support Food & Beverage marketing efforts during the Community Spotlight campaign period. Using a muted-sage-taupe visual style, the asset functions as promotional content across digital channels. The design balances brand materials with campaign-specific visual collateral, ensuring consistency across touchpoints. It is suitable for use in business signage, social content, and marketing graphics deployments.",Quote Graphic,Seasonal Promotion,Food & Beverage,Community Spotlight,"['muted-sage-taupe', 'monochrome-black-white']",SVG,ACC-1004,True,2025-12-13,2,4:5
BA-100226,Italian Kitchen Instagram Story Template - Anniversary Special,This Instagram Story Template represents a draft-stage design asset for Food & Beverage stakeholders. The charcoal-white-minimal palette was specified in the creative brief but has not been finalized. It is catalogued under Anniversary Celebration pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Instagram Story Template,Customer Testimonial,Food & Beverage,Anniversary Celebration,"['charcoal-white-minimal', 'sky-blue-white', 'electric-neon']",JPEG,ACC-1005,True,2026-02-02,23,1:1
BA-100227,App Brand Video Clip - New Look,"A polished Video Clip asset tailored for SaaS & Technology use cases, aligned with the Brand Refresh campaign narrative. The rich-chocolate-caramel color treatment gives this marketing material a distinctive look that supports brand consistency. This promotional graphic works well as campaign collateral across email, web, and print environments. The visual identity elements have been refined to suit both digital-first and physical marketing contexts.",Video Clip,Email Marketing,SaaS & Technology,Brand Refresh,"['rich-chocolate-caramel', 'forest-green-gold']",AI,ACC-1007,True,2026-01-14,18,16:9
BA-100228,Yoga Studio Video Clip - Member Benefits,Generic Video Clip template stored in the asset library for Fitness & Wellness account holders. The electric-neon palette designation was auto-assigned during the upload workflow. This asset is classified under Loyalty Program for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Video Clip,Loyalty & Rewards,Fitness & Wellness,Loyalty Program,"['electric-neon', 'bold-red-gold']",SVG,ACC-1003,True,2026-01-13,0,1.91:1
BA-100229,Online Store Logo - Collab Drop,A standard Logo asset catalogued under the Retail & E-commerce vertical for organizational reference. Color properties follow the olive-terracotta specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Influencer Collab campaign grouping. No additional design customization was applied beyond baseline template defaults.,Logo,Social Media Content,Retail & E-commerce,Influencer Collab,"['olive-terracotta', 'monochrome-black-white']",MP4,ACC-1001,True,2025-12-27,12,16:9
BA-100230,Hotel Product Photo - Refreshed Identity,A standard Product Photo asset catalogued under the Hospitality vertical for organizational reference. Color properties follow the rich-chocolate-caramel specification noted during the asset intake process. This file was uploaded as part of a batch import and assigned to the Brand Refresh campaign grouping. No additional design customization was applied beyond baseline template defaults.,Product Photo,Brand Identity,Hospitality,Brand Refresh,['rich-chocolate-caramel'],MP4,ACC-1041,True,2025-12-21,2,9:16
BA-100231,Home Goods Store Instagram Story Template - New Location,"This Instagram Story Template was created to support Retail & E-commerce marketing efforts during the New Location Launch campaign period. Using a blush-rose-gold visual style, the asset functions as promotional content across digital channels. The design balances brand materials with campaign-specific visual collateral, ensuring consistency across touchpoints. It is suitable for use in business signage, social content, and marketing graphics deployments.",Instagram Story Template,Lifestyle & Editorial,Retail & E-commerce,New Location Launch,"['blush-rose-gold', 'bold-red-gold']",JPEG,ACC-1001,False,2026-03-03,5,9:16
BA-100232,Style Studio Business Card - Spring Bloom,"This Business Card was created to support Fashion & Apparel marketing efforts during the Spring Collection campaign period. Using a blush-rose-gold visual style, the asset functions as promotional content across digital channels. The design balances brand materials with campaign-specific visual collateral, ensuring consistency across touchpoints. It is suitable for use in business signage, social content, and marketing graphics deployments.",Business Card,Product Showcase,Fashion & Apparel,Spring Collection,['blush-rose-gold'],JPEG,ACC-1003,True,2026-02-06,1,9:16
BA-100233,Wellness Center Menu Board - New Look,Generic Menu Board template stored in the asset library for Fitness & Wellness account holders. The sunset-orange-coral palette designation was auto-assigned during the upload workflow. This asset is classified under Brand Refresh for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Menu Board,Lifestyle & Editorial,Fitness & Wellness,Brand Refresh,"['sunset-orange-coral', 'lavender-lilac']",JPEG,ACC-1008,True,2025-12-02,0,9:16
BA-100234,Bookstore Infographic - After Work Deals,"This Infographic supports Retail & E-commerce promotional content needs within the Happy Hour Promo campaign framework. Rendered in a warm-earth-tones color scheme, it provides a flexible marketing graphic that adapts to various formats. The asset functions as visual collateral for social content, email campaigns, and physical display materials. Brand materials of this type are optimized for high reuse across seasonal and evergreen campaign cycles.",Infographic,Food & Beverage Imagery,Retail & E-commerce,Happy Hour Promo,['warm-earth-tones'],MP4,ACC-1008,True,2026-01-19,1,1:1
BA-100235,Apparel Label Social Media Graphic - Member Benefits,"Built for Fashion & Apparel brands executing a Loyalty Program strategy, this Social Media Graphic delivers clean visual collateral with a lavender-lilac palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Social Media Graphic,Food & Beverage Imagery,Fashion & Apparel,Loyalty Program,['lavender-lilac'],SVG,ACC-1004,True,2026-01-07,3,1:1
BA-100236,Real Estate Agency Infographic - Summer Refresh,"This Infographic was created to support Real Estate marketing efforts during the Summer Promotion campaign period. Using a cool-blue-silver visual style, the asset functions as promotional content across digital channels. The design balances brand materials with campaign-specific visual collateral, ensuring consistency across touchpoints. It is suitable for use in business signage, social content, and marketing graphics deployments.",Infographic,Loyalty & Rewards,Real Estate,Summer Promotion,['cool-blue-silver'],SVG,ACC-1035,True,2025-12-16,5,4:5
BA-100237,Food Truck Email Template Header - Fresh Spring Looks,"A versatile Email Template Header crafted for Food & Beverage businesses, this asset anchors the Spring Collection campaign with a bold muted-sage-taupe aesthetic. It encompasses logo variations, loyalty card graphics, and promotional banner formats for both digital and physical signage. Coffee shop signage, modern kitchen imagery, and spring collection themes are woven into the visual identity. The asset supports email marketing, menu board display, and brand refresh initiatives simultaneously.",Email Template Header,Email Marketing,Food & Beverage,Spring Collection,['muted-sage-taupe'],GIF,ACC-1005,True,2025-11-21,27,4:5
BA-100238,Wellness Center Flyer - Authentic Italian,"A polished Flyer asset tailored for Fitness & Wellness use cases, aligned with the Italian Cuisine Feature campaign narrative. The blush-rose-gold color treatment gives this marketing material a distinctive look that supports brand consistency. This promotional graphic works well as campaign collateral across email, web, and print environments. The visual identity elements have been refined to suit both digital-first and physical marketing contexts.",Flyer,Event & Campaign,Fitness & Wellness,Italian Cuisine Feature,['blush-rose-gold'],PNG,ACC-1004,True,2026-01-04,6,4:5
BA-100239,Pizzeria Signage - Cold Weather Comfort,This Signage represents a draft-stage design asset for Food & Beverage stakeholders. The bright-citrus-yellow palette was specified in the creative brief but has not been finalized. It is catalogued under Winter Warmth pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Signage,Social Media Content,Food & Beverage,Winter Warmth,['bright-citrus-yellow'],JPEG,ACC-1011,True,2026-03-04,95,1.91:1
BA-100240,Yoga Studio Promotional Banner - Hot Summer Deals,This Promotional Banner is a general-purpose design template available for Fitness & Wellness use cases. The rich-chocolate-caramel color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the Summer Promotion campaign classification for archival purposes.,Promotional Banner,Food & Beverage Imagery,Fitness & Wellness,Summer Promotion,['rich-chocolate-caramel'],SVG,ACC-1028,True,2025-11-20,1,1:1
BA-100241,Consulting Agency Email Template Header - Study Season,This Email Template Header is a general-purpose design template available for Professional Services use cases. The navy-gold-premium color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the Back to School campaign classification for archival purposes.,Email Template Header,Product Showcase,Professional Services,Back to School,['navy-gold-premium'],JPEG,ACC-1004,False,2025-11-21,1,3:2
BA-100242,Home Listings GIF Animation - Local Heroes,This GIF Animation is a general-purpose design template available for Real Estate use cases. The sky-blue-white color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the Community Spotlight campaign classification for archival purposes.,GIF Animation,Lifestyle & Editorial,Real Estate,Community Spotlight,"['sky-blue-white', 'fresh-green-white', 'pastel-spring']",JPEG,ACC-1005,True,2026-01-28,16,1:1
BA-100243,Community Shop Logo - Weekend Special,This Logo represents a draft-stage design asset for General Small Business stakeholders. The rich-chocolate-caramel palette was specified in the creative brief but has not been finalized. It is catalogued under Weekend Brunch Series pending further review by the brand team. Metadata fields are populated for discoverability but content may require revision before use.,Logo,Social Media Content,General Small Business,Weekend Brunch Series,"['rich-chocolate-caramel', 'cool-blue-silver', 'navy-gold-premium']",JPEG,ACC-1032,True,2025-11-16,4,16:9
BA-100244,Vacation Rental Email Template Header - Fall Flavors,An archived Email Template Header resource associated with Hospitality operations and the Fall Harvest initiative. Color tagging reflects the forest-green-gold palette used during the original design phase. This item is retained in the catalog for historical reference and potential future reuse. No active campaign deployment is currently scheduled for this asset.,Email Template Header,Email Marketing,Hospitality,Fall Harvest,"['forest-green-gold', 'olive-terracotta', 'blush-rose-gold']",JPEG,ACC-1020,True,2026-02-14,44,1:1
BA-100245,Clothing Boutique Class Schedule - Authentic Italian,Generic Class Schedule template stored in the asset library for Fashion & Apparel account holders. The rich-chocolate-caramel palette designation was auto-assigned during the upload workflow. This asset is classified under Italian Cuisine Feature for reporting and filtering purposes. Content has not been reviewed for active campaign deployment at this time.,Class Schedule,Email Marketing,Fashion & Apparel,Italian Cuisine Feature,"['rich-chocolate-caramel', 'fresh-green-white']",SVG,ACC-1001,True,2025-12-01,1,9:16
BA-100246,Wellness Center Product Photo - Summer Refresh,"This Product Photo supports Fitness & Wellness promotional content needs within the Summer Promotion campaign framework. Rendered in a electric-neon color scheme, it provides a flexible marketing graphic that adapts to various formats. The asset functions as visual collateral for social content, email campaigns, and physical display materials. Brand materials of this type are optimized for high reuse across seasonal and evergreen campaign cycles.",Product Photo,Social Media Content,Fitness & Wellness,Summer Promotion,"['electric-neon', 'lavender-lilac']",PNG,ACC-1009,False,2025-12-26,1,16:9
BA-100247,Gym GIF Animation - Summer Sale,"This GIF Animation was created to support Fitness & Wellness marketing efforts during the Summer Promotion campaign period. Using a olive-terracotta visual style, the asset functions as promotional content across digital channels. The design balances brand materials with campaign-specific visual collateral, ensuring consistency across touchpoints. It is suitable for use in business signage, social content, and marketing graphics deployments.",GIF Animation,Customer Testimonial,Fitness & Wellness,Summer Promotion,['olive-terracotta'],PNG,ACC-1005,True,2025-12-04,3,1:1
BA-100248,Wellness Clinic Signage - Winter Warmup,This Signage is a general-purpose design template available for Healthcare & Beauty use cases. The deep-burgundy-cream color configuration was selected based on internal style guide recommendations. File metadata has been validated for compliance with platform upload standards. Administrative tagging reflects the Winter Warmth campaign classification for archival purposes.,Signage,Loyalty & Rewards,Healthcare & Beauty,Winter Warmth,['deep-burgundy-cream'],PNG,ACC-1045,False,2025-12-27,4,9:16
BA-100249,Home Listings Infographic - Anniversary Sale,"Built for Real Estate brands executing a Anniversary Celebration strategy, this Infographic delivers clean visual collateral with a deep-burgundy-cream palette. The asset is structured to serve as adaptable brand material for multiple marketing channels. Campaign assets like this one are designed for reuse across promotional content cycles. The layout supports both static and animated deployment as a marketing graphic or business signage piece.",Infographic,Email Marketing,Real Estate,Anniversary Celebration,['deep-burgundy-cream'],JPEG,ACC-1048,True,2025-12-15,72,4:5
