application_id,application_name,business_unit,criticality_tier,workload_category,sla_target_ms,min_tps_required,cost_center,migration_priority,migration_status,owner_team,application_characteristics
app-0119,RiskManagement-RiskAnalytics-app-0119,Risk Management,Tier4-Low,Risk Analytics,925.43,2291.38,CC-5620,P2-Medium,Not Started,Risk-Engineering,Mission-critical Risk Analytics system processing 2291 TPS with strict regulatory compliance requirements
app-0120,Treasury-BatchProcessing-app-0120,Treasury,Tier1-Critical,Batch Processing,15.88,1233.84,CC-4886,P0-Immediate,Completed,Treasury-Engineering,High-throughput Batch Processing application optimized for real-time processing and low-latency execution
app-0121,RiskManagement-RiskAnalytics-app-0121,Risk Management,Tier2-High,Risk Analytics,32.16,4102.64,CC-6540,P0-Immediate,Not Started,Risk-Engineering,Enterprise Risk Analytics platform serving Risk Management with Not Started migration to AMD infrastructure
app-0122,Treasury-BatchProcessing-app-0122,Treasury,Tier1-Critical,Batch Processing,9.67,2180.57,CC-1430,P3-Low,Not Started,Treasury-Engineering,Enterprise Batch Processing platform serving Treasury with Not Started migration to AMD infrastructure
app-0123,InvestmentBanking-TradingPlatform-app-0123,Investment Banking,Tier1-Critical,Trading Platform,18.41,4354.77,CC-3173,P2-Medium,Not Started,Investment-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0124,RiskManagement-RiskAnalytics-app-0124,Risk Management,Tier4-Low,Risk Analytics,870.75,3148.2,CC-4372,P1-High,Not Started,Risk-Engineering,High-throughput Risk Analytics application optimized for real-time processing and low-latency execution
app-0125,AssetManagement-PaymentProcessing-app-0125,Asset Management,Tier4-Low,Payment Processing,917.78,1136.39,CC-4481,P2-Medium,Not Started,Asset-Engineering,High-throughput Payment Processing application optimized for real-time processing and low-latency execution
app-0126,AssetManagement-PaymentProcessing-app-0126,Asset Management,Tier1-Critical,Payment Processing,7.28,465.69,CC-2923,P1-High,Not Started,Asset-Engineering,Mission-critical Payment Processing system processing 465 TPS with strict regulatory compliance requirements
app-0127,RiskManagement-Real-timeStreaming-app-0127,Risk Management,Tier4-Low,Real-time Streaming,287.73,1065.89,CC-9447,P0-Immediate,Not Started,Risk-Engineering,Enterprise Real-time Streaming platform serving Risk Management with Not Started migration to AMD infrastructure
app-0128,InvestmentBanking-PaymentProcessing-app-0128,Investment Banking,Tier4-Low,Payment Processing,483.06,3982.66,CC-7459,P1-High,Planning,Investment-Engineering,High-throughput Payment Processing application optimized for real-time processing and low-latency execution
app-0129,RetailBanking-Real-timeStreaming-app-0129,Retail Banking,Tier3-Medium,Real-time Streaming,81.82,145.2,CC-3410,P1-High,Not Started,Retail-Engineering,High-throughput Real-time Streaming application optimized for real-time processing and low-latency execution
app-0130,Trading-DataWarehouse-app-0130,Trading,Tier1-Critical,Data Warehouse,13.52,3671.26,CC-5947,P3-Low,Not Started,Trading-Engineering,Enterprise Data Warehouse platform serving Trading with Not Started migration to AMD infrastructure
app-0131,InvestmentBanking-PaymentProcessing-app-0131,Investment Banking,Tier3-Medium,Payment Processing,134.24,2246.82,CC-4559,P1-High,Not Started,Investment-Engineering,High-throughput Payment Processing application optimized for real-time processing and low-latency execution
app-0132,Treasury-PaymentProcessing-app-0132,Treasury,Tier2-High,Payment Processing,34.45,2296.43,CC-6027,P3-Low,In Progress,Treasury-Engineering,Mission-critical Payment Processing system processing 2296 TPS with strict regulatory compliance requirements
app-0133,AssetManagement-Real-timeStreaming-app-0133,Asset Management,Tier3-Medium,Real-time Streaming,171.19,3681.82,CC-4315,P1-High,Not Started,Asset-Engineering,High-throughput Real-time Streaming application optimized for real-time processing and low-latency execution
app-0134,RetailBanking-PaymentProcessing-app-0134,Retail Banking,Tier4-Low,Payment Processing,808.51,2555.92,CC-3477,P3-Low,Not Started,Retail-Engineering,Mission-critical Payment Processing system processing 2555 TPS with strict regulatory compliance requirements
app-0135,InvestmentBanking-TradingPlatform-app-0135,Investment Banking,Tier3-Medium,Trading Platform,132.84,502.34,CC-4549,P0-Immediate,Not Started,Investment-Engineering,Enterprise Trading Platform platform serving Investment Banking with Not Started migration to AMD infrastructure
app-0136,InvestmentBanking-TradingPlatform-app-0136,Investment Banking,Tier1-Critical,Trading Platform,7.33,111.25,CC-9841,P2-Medium,Not Started,Investment-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0137,InvestmentBanking-PaymentProcessing-app-0137,Investment Banking,Tier1-Critical,Payment Processing,7.18,3174.28,CC-6136,P1-High,Not Started,Investment-Engineering,Enterprise Payment Processing platform serving Investment Banking with Not Started migration to AMD infrastructure
app-0138,Treasury-TradingPlatform-app-0138,Treasury,Tier4-Low,Trading Platform,818.24,3200.73,CC-7914,P2-Medium,Planning,Treasury-Engineering,High-throughput Trading Platform application optimized for real-time processing and low-latency execution
app-0139,RetailBanking-PaymentProcessing-app-0139,Retail Banking,Tier2-High,Payment Processing,35.47,4255.12,CC-8821,P1-High,Completed,Retail-Engineering,High-throughput Payment Processing application optimized for real-time processing and low-latency execution
app-0140,Treasury-DataWarehouse-app-0140,Treasury,Tier4-Low,Data Warehouse,562.62,2821.63,CC-6457,P0-Immediate,In Progress,Treasury-Engineering,Enterprise Data Warehouse platform serving Treasury with In Progress migration to AMD infrastructure
app-0141,Treasury-PaymentProcessing-app-0141,Treasury,Tier1-Critical,Payment Processing,10.53,1987.63,CC-1018,P3-Low,Not Started,Treasury-Engineering,Enterprise Payment Processing platform serving Treasury with Not Started migration to AMD infrastructure
app-0142,AssetManagement-DataWarehouse-app-0142,Asset Management,Tier1-Critical,Data Warehouse,19.42,2518.82,CC-1780,P3-Low,In Progress,Asset-Engineering,Enterprise Data Warehouse platform serving Asset Management with In Progress migration to AMD infrastructure
app-0143,InvestmentBanking-TradingPlatform-app-0143,Investment Banking,Tier3-Medium,Trading Platform,84.58,4834.81,CC-6071,P0-Immediate,Not Started,Investment-Engineering,Enterprise Trading Platform platform serving Investment Banking with Not Started migration to AMD infrastructure
app-0144,InvestmentBanking-DataWarehouse-app-0144,Investment Banking,Tier2-High,Data Warehouse,24.33,4255.68,CC-2626,P3-Low,Not Started,Investment-Engineering,Data Warehouse application for Investment Banking requiring Tier2-High availability and sub-24ms latency
app-0145,RetailBanking-BatchProcessing-app-0145,Retail Banking,Tier4-Low,Batch Processing,536.44,2348.75,CC-4609,P2-Medium,Planning,Retail-Engineering,Batch Processing application for Retail Banking requiring Tier4-Low availability and sub-536ms latency
app-0146,AssetManagement-Real-timeStreaming-app-0146,Asset Management,Tier1-Critical,Real-time Streaming,10.49,4030.15,CC-1503,P0-Immediate,Not Started,Asset-Engineering,Mission-critical Real-time Streaming system processing 4030 TPS with strict regulatory compliance requirements
app-0147,InvestmentBanking-RiskAnalytics-app-0147,Investment Banking,Tier1-Critical,Risk Analytics,13.93,4615.0,CC-9937,P1-High,In Progress,Investment-Engineering,Mission-critical Risk Analytics system processing 4615 TPS with strict regulatory compliance requirements
app-0148,RetailBanking-TradingPlatform-app-0148,Retail Banking,Tier2-High,Trading Platform,49.57,4051.08,CC-6539,P1-High,Planning,Retail-Engineering,Enterprise Trading Platform platform serving Retail Banking with Planning migration to AMD infrastructure
app-0149,RetailBanking-BatchProcessing-app-0149,Retail Banking,Tier2-High,Batch Processing,27.58,3873.8,CC-8324,P2-Medium,Not Started,Retail-Engineering,Batch Processing application for Retail Banking requiring Tier2-High availability and sub-27ms latency
app-0150,RiskManagement-RiskAnalytics-app-0150,Risk Management,Tier4-Low,Risk Analytics,575.99,4331.07,CC-8956,P3-Low,Not Started,Risk-Engineering,Enterprise Risk Analytics platform serving Risk Management with Not Started migration to AMD infrastructure
