attack_signature,threat_name,threat_category,threat_description,mitigation_strategy,cve_references
SIG_00304,INAP Send Routing Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00305,CAP Any Time Interrogation Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00306,TCAP Send Routing Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00307,TCAP Send Authentication Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,CVE-2022-5344
SIG_00308,MAP Send Routing Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00309,INAP Send Authentication Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00310,CAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00311,MAP Update Location Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,CVE-2020-8665
SIG_00312,INAP Update Location Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00313,CAP Update Location Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2021-9071
SIG_00314,MAP Any Time Interrogation Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00315,CAP Send Authentication Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2021-2908
SIG_00316,MAP Send Authentication Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00317,INAP Insert Subscriber Data Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2024-5101
SIG_00318,CAP Insert Subscriber Data Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00319,CAP Any Time Interrogation Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00320,CAP Send Routing Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2021-5619
SIG_00321,TCAP Send Authentication Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2019-4769
SIG_00322,TCAP Send Routing Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00323,MAP Insert Subscriber Data Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2022-9701
SIG_00324,TCAP Insert Subscriber Data Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2021-3470
SIG_00325,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00326,TCAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00327,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00328,CAP Any Time Interrogation Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2018-8510
SIG_00329,TCAP Any Time Interrogation Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00330,INAP Send Authentication Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00331,MAP Provide Subscriber Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,CVE-2019-2654
SIG_00332,CAP Any Time Interrogation Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2023-8364
SIG_00333,CAP Insert Subscriber Data Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00334,TCAP Update Location Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00335,INAP Insert Subscriber Data Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00336,INAP Insert Subscriber Data Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00337,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2018-7158
SIG_00338,MAP Provide Subscriber Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00339,INAP Provide Subscriber Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00340,CAP Provide Subscriber Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2018-8093
SIG_00341,CAP Send Authentication Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00342,INAP Any Time Interrogation Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,CVE-2023-5621
SIG_00343,MAP Insert Subscriber Data Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00344,MAP Insert Subscriber Data Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2024-2663
SIG_00345,INAP Any Time Interrogation Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00346,TCAP Insert Subscriber Data Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00347,MAP Send Authentication Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00348,TCAP Any Time Interrogation Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00349,MAP Send Authentication Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00350,CAP Send Authentication Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00351,MAP Any Time Interrogation Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2022-4636
SIG_00352,CAP Send Routing Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00353,MAP Any Time Interrogation Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00354,TCAP Insert Subscriber Data Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00355,CAP Any Time Interrogation Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00356,TCAP Any Time Interrogation Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2024-9710
SIG_00357,INAP Provide Subscriber Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00358,TCAP Send Authentication Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00359,MAP Update Location Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,CVE-2019-1516
SIG_00360,INAP Update Location Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2020-5331
SIG_00361,INAP Send Authentication Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2020-1355
SIG_00362,INAP Any Time Interrogation Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00363,MAP Send Authentication Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2018-5129
SIG_00364,INAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00365,TCAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00366,INAP Insert Subscriber Data Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00367,TCAP Send Routing Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2021-5155
SIG_00368,MAP Update Location Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00369,MAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00370,TCAP Send Authentication Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2020-4109
SIG_00371,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00372,MAP Any Time Interrogation Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00373,MAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2019-7403
SIG_00374,CAP Insert Subscriber Data Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00375,MAP Send Routing Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2021-4383
SIG_00376,INAP Any Time Interrogation Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2018-5451
SIG_00377,MAP Provide Subscriber Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00378,MAP Send Routing Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00379,CAP Any Time Interrogation Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00380,MAP Send Authentication Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00381,TCAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,CVE-2019-7256
SIG_00382,INAP Send Authentication Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00383,INAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00384,TCAP Provide Subscriber Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00385,TCAP Send Authentication Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00386,INAP Insert Subscriber Data Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00387,MAP Provide Subscriber Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00388,TCAP Update Location Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00389,CAP Update Location Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00390,MAP Insert Subscriber Data Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,CVE-2023-8974
SIG_00391,CAP Provide Subscriber Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00392,TCAP Any Time Interrogation Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2018-9987
SIG_00393,MAP Provide Subscriber Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2018-5081
SIG_00394,TCAP Insert Subscriber Data Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2020-4206
SIG_00395,TCAP Any Time Interrogation Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00396,CAP Any Time Interrogation Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00397,CAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00398,INAP Insert Subscriber Data Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00399,MAP Update Location Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00400,INAP Insert Subscriber Data Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2021-6195
SIG_00401,CAP Send Authentication Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2021-6469
SIG_00402,CAP Send Authentication Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00403,CAP Any Time Interrogation Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00404,CAP Any Time Interrogation Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00405,INAP Insert Subscriber Data Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00406,MAP Insert Subscriber Data Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00407,CAP Send Authentication Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00408,MAP Send Authentication Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00409,TCAP Insert Subscriber Data Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2019-1034
SIG_00410,MAP Insert Subscriber Data Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2022-6628
SIG_00411,MAP Send Authentication Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00412,TCAP Send Routing Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,CVE-2022-4466
SIG_00413,INAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2018-1913
SIG_00414,MAP Send Authentication Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00415,CAP Provide Subscriber Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00416,INAP Provide Subscriber Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00417,TCAP Any Time Interrogation Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00418,CAP Update Location Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2022-4107
SIG_00419,CAP Send Routing Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00420,CAP Update Location Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00421,MAP Update Location Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2021-3530
SIG_00422,TCAP Any Time Interrogation Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00423,TCAP Send Routing Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2018-3928
SIG_00424,MAP Any Time Interrogation Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,CVE-2021-6945
SIG_00425,MAP Any Time Interrogation Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2019-8555
SIG_00426,MAP Insert Subscriber Data Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,CVE-2024-8172
SIG_00427,CAP Any Time Interrogation Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00428,CAP Send Authentication Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00429,INAP Provide Subscriber Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2020-9697
SIG_00430,INAP Send Authentication Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00431,CAP Send Routing Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00432,CAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00433,CAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00434,TCAP Update Location Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00435,TCAP Send Routing Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00436,CAP Any Time Interrogation Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00437,INAP Insert Subscriber Data Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00438,INAP Send Authentication Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00439,CAP Any Time Interrogation Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00440,INAP Insert Subscriber Data Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,CVE-2023-9680
SIG_00441,CAP Any Time Interrogation Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00442,INAP Update Location Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2023-9582
SIG_00443,TCAP Send Authentication Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00444,TCAP Send Authentication Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2020-4009
SIG_00445,CAP Insert Subscriber Data Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2024-3309
SIG_00446,CAP Send Authentication Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00447,TCAP Send Authentication Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2023-1694
SIG_00448,CAP Send Routing Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00449,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00450,CAP Provide Subscriber Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00451,TCAP Send Authentication Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00452,TCAP Insert Subscriber Data Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2021-2707
SIG_00453,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00454,CAP Send Authentication Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00455,INAP Send Routing Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00456,MAP Any Time Interrogation Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00457,INAP Send Routing Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00458,INAP Send Authentication Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00459,TCAP Send Routing Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00460,INAP Send Authentication Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00461,CAP Send Routing Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00462,TCAP Update Location Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2023-7658
SIG_00463,CAP Send Routing Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00464,MAP Any Time Interrogation Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00465,INAP Update Location Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2019-6312
SIG_00466,MAP Update Location Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00467,CAP Send Authentication Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00468,INAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00469,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00470,MAP Provide Subscriber Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00471,MAP Update Location Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00472,MAP Provide Subscriber Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00473,INAP Send Routing Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2019-8626
SIG_00474,MAP Send Routing Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00475,TCAP Provide Subscriber Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00476,CAP Provide Subscriber Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00477,MAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00478,TCAP Send Authentication Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00479,CAP Send Authentication Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00480,TCAP Send Authentication Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00481,MAP Send Routing Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2022-2229
SIG_00482,INAP Update Location Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00483,INAP Update Location Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00484,TCAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00485,INAP Any Time Interrogation Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00486,CAP Provide Subscriber Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00487,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2021-2592
SIG_00488,CAP Send Authentication Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00489,INAP Update Location Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2022-4539
SIG_00490,CAP Provide Subscriber Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00491,TCAP Update Location Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00492,INAP Provide Subscriber Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00493,CAP Update Location Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00494,MAP Provide Subscriber Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,CVE-2024-5201
SIG_00495,CAP Send Routing Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
