fault_code,bug_id,bug_title,bug_severity,affected_software_versions,bug_category,patch_available,patch_version,cve_reference,workaround_available
FC-4002,BUG-10009,IMSI Validation False Reject,CRITICAL,"v5.0.0, v4.3.0",AUTH-MODULE,NO,N/A,CVE-2023-11009,NO
FC-5001,BUG-10010,S6a Timeout Auth Loop,HIGH,"v5.0.0, v5.1.0, v4.2.1",S6A-INTERFACE,IN-PROGRESS,v5.1.1,CVE-2023-11010,YES
FC-1001,BUG-10001,S1AP Null Pointer Dereference,CRITICAL,"v5.1.0, v4.2.1, v4.2.3, v4.3.1",S1AP-PROCESSING,YES,PENDING,CVE-2023-11001,YES
FC-1002,BUG-10002,NAS Memory Leak Under Load,HIGH,"v4.2.1, v5.0.2, v4.3.0, v4.3.1",NAS-SIGNALING,IN-PROGRESS,N/A,CVE-2023-11002,NO
FC-1003,BUG-10003,Attach Race Condition,HIGH,"v5.1.0, v4.2.1, v5.0.0",ATTACH-PROCEDURE,IN-PROGRESS,v5.1.1,CVE-2023-11003,YES
FC-2001,BUG-10004,TAU CPU Exhaustion,CRITICAL,"v4.3.1, v4.2.1",TAU-HANDLER,YES,N/A,CVE-2023-11004,YES
FC-2002,BUG-10005,HSS Connection Pool Depletion,HIGH,"v4.2.3, v4.3.1, v5.0.0, v4.2.1",HSS-INTERFACE,YES,N/A,CVE-2023-11005,YES
FC-3001,BUG-10006,Stale Handover Context Leak,MEDIUM,"v4.3.0, v5.1.0, v4.2.1",HANDOVER-MGMT,YES,v5.1.2,N/A,YES
FC-3002,BUG-10007,Paging Timer Resource Leak,MEDIUM,"v5.1.0, v4.2.3, v5.0.2, v4.3.1",PAGING,YES,N/A,N/A,YES
FC-4001,BUG-10008,Bearer Management Deadlock,HIGH,"v4.2.3, v4.3.1, v5.0.0, v5.1.0",BEARER-MGMT,YES,v5.2.0,CVE-2023-11008,NO
FC-4002,BUG-10009,IMSI Validation False Reject,CRITICAL,"v4.2.3, v4.2.1, v5.1.0",AUTH-MODULE,NO,PENDING,CVE-2023-11009,NO
FC-5001,BUG-10010,S6a Timeout Auth Loop,HIGH,"v4.2.1, v4.3.1",S6A-INTERFACE,YES,v5.2.0,CVE-2023-11010,YES
FC-1001,BUG-10001,S1AP Null Pointer Dereference,CRITICAL,"v4.2.1, v5.0.2, v5.0.0, v4.3.0",S1AP-PROCESSING,NO,v5.2.0,CVE-2023-11001,YES
FC-1002,BUG-10002,NAS Memory Leak Under Load,HIGH,"v5.0.0, v5.0.2, v4.2.3, v5.1.0",NAS-SIGNALING,IN-PROGRESS,v5.2.0,CVE-2023-11002,YES
FC-1003,BUG-10003,Attach Race Condition,HIGH,"v5.0.2, v5.0.0",ATTACH-PROCEDURE,NO,v5.1.1,CVE-2023-11003,YES
FC-2001,BUG-10004,TAU CPU Exhaustion,CRITICAL,"v5.0.0, v4.3.1, v5.0.2",TAU-HANDLER,YES,v5.1.2,CVE-2023-11004,NO
FC-2002,BUG-10005,HSS Connection Pool Depletion,HIGH,"v4.2.3, v5.0.0, v4.3.1",HSS-INTERFACE,NO,N/A,CVE-2023-11005,NO
FC-3001,BUG-10006,Stale Handover Context Leak,MEDIUM,"v4.2.1, v5.0.0, v4.3.0",HANDOVER-MGMT,NO,PENDING,N/A,YES
FC-3002,BUG-10007,Paging Timer Resource Leak,MEDIUM,"v4.3.0, v4.2.1, v5.0.0, v4.3.1",PAGING,YES,v5.2.0,N/A,NO
FC-4001,BUG-10008,Bearer Management Deadlock,HIGH,"v4.3.1, v5.1.0",BEARER-MGMT,NO,v5.1.2,CVE-2023-11008,YES
FC-4002,BUG-10009,IMSI Validation False Reject,CRITICAL,"v4.2.1, v5.0.0",AUTH-MODULE,IN-PROGRESS,v5.2.0,CVE-2023-11009,YES
FC-5001,BUG-10010,S6a Timeout Auth Loop,HIGH,"v4.2.1, v4.3.0",S6A-INTERFACE,YES,v5.1.2,CVE-2023-11010,NO
FC-1001,BUG-10001,S1AP Null Pointer Dereference,CRITICAL,"v4.3.0, v5.0.0, v5.0.2, v4.3.1",S1AP-PROCESSING,YES,PENDING,CVE-2023-11001,YES
FC-1002,BUG-10002,NAS Memory Leak Under Load,HIGH,"v4.2.1, v5.0.0",NAS-SIGNALING,YES,v5.1.1,CVE-2023-11002,YES
FC-1003,BUG-10003,Attach Race Condition,HIGH,"v5.0.2, v5.1.0, v4.3.1, v5.0.0",ATTACH-PROCEDURE,YES,v5.1.1,CVE-2023-11003,NO
FC-2001,BUG-10004,TAU CPU Exhaustion,CRITICAL,"v5.0.2, v4.2.3, v5.0.0, v4.3.0",TAU-HANDLER,YES,N/A,CVE-2023-11004,YES
FC-2002,BUG-10005,HSS Connection Pool Depletion,HIGH,"v4.2.3, v5.0.2",HSS-INTERFACE,IN-PROGRESS,v5.2.0,CVE-2023-11005,YES
FC-3001,BUG-10006,Stale Handover Context Leak,MEDIUM,"v5.0.2, v5.1.0",HANDOVER-MGMT,NO,v5.1.2,N/A,NO
FC-3002,BUG-10007,Paging Timer Resource Leak,MEDIUM,"v4.3.1, v5.0.2, v5.0.0",PAGING,YES,PENDING,N/A,YES
FC-4001,BUG-10008,Bearer Management Deadlock,HIGH,"v4.2.1, v5.0.0, v5.1.0, v4.2.3",BEARER-MGMT,YES,N/A,CVE-2023-11008,NO
FC-4002,BUG-10009,IMSI Validation False Reject,CRITICAL,"v4.3.1, v4.3.0",AUTH-MODULE,YES,v5.2.0,CVE-2023-11009,YES
FC-5001,BUG-10010,S6a Timeout Auth Loop,HIGH,"v5.0.0, v4.3.0",S6A-INTERFACE,YES,PENDING,CVE-2023-11010,NO
FC-1001,BUG-10001,S1AP Null Pointer Dereference,CRITICAL,"v5.0.0, v5.0.2, v5.1.0, v4.3.0",S1AP-PROCESSING,YES,v5.1.2,CVE-2023-11001,NO
FC-1002,BUG-10002,NAS Memory Leak Under Load,HIGH,"v4.3.1, v5.1.0, v5.0.2",NAS-SIGNALING,IN-PROGRESS,v5.1.2,CVE-2023-11002,NO
FC-1003,BUG-10003,Attach Race Condition,HIGH,"v4.2.3, v5.0.2",ATTACH-PROCEDURE,IN-PROGRESS,v5.1.2,CVE-2023-11003,YES
FC-2001,BUG-10004,TAU CPU Exhaustion,CRITICAL,"v4.3.0, v4.2.1, v5.0.0, v5.0.2",TAU-HANDLER,IN-PROGRESS,v5.1.2,CVE-2023-11004,NO
FC-2002,BUG-10005,HSS Connection Pool Depletion,HIGH,"v4.3.0, v4.2.1",HSS-INTERFACE,IN-PROGRESS,v5.2.0,CVE-2023-11005,YES
FC-3001,BUG-10006,Stale Handover Context Leak,MEDIUM,"v5.0.2, v4.2.1",HANDOVER-MGMT,YES,v5.2.0,N/A,NO
FC-3002,BUG-10007,Paging Timer Resource Leak,MEDIUM,"v4.3.1, v5.0.2, v4.2.1",PAGING,NO,PENDING,N/A,YES
FC-4001,BUG-10008,Bearer Management Deadlock,HIGH,"v5.0.0, v4.3.1, v4.2.1",BEARER-MGMT,NO,N/A,CVE-2023-11008,YES
FC-4002,BUG-10009,IMSI Validation False Reject,CRITICAL,"v5.0.2, v4.2.1",AUTH-MODULE,YES,v5.1.2,CVE-2023-11009,YES
FC-5001,BUG-10010,S6a Timeout Auth Loop,HIGH,"v4.2.1, v5.0.2",S6A-INTERFACE,YES,PENDING,CVE-2023-11010,NO
