experiment_id,experiment_name,retrieval_strategy,embedding_model,query_template,test_query,precision_at_5,recall_at_10,mrr_score,latency_ms,experiment_date,engineer_notes,deployed_to_production
EXP000418,Experiment 418 - hybrid,composed,all-MiniLM-L6-v2,Template 17,Search for campaign assets tagged with sustainability,0.676,0.629,0.52,2483,2025-09-28 00:05:07.853910,Testing performance improvements,False
EXP000419,Experiment 419 - keyword,keyword,text-embedding-ada-002,Template 16,Find marketing assets for Q4 campaign with high engagement metrics,0.521,0.526,0.865,1601,2025-09-28 01:05:07.853910,Testing performance improvements,False
EXP000420,Experiment 420 - filtered,filtered,all-MiniLM-L6-v2,Template 39,Search for campaign assets tagged with sustainability,0.606,0.724,0.733,193,2025-09-28 02:05:07.853910,Testing latency improvements,True
EXP000421,Experiment 421 - semantic,keyword,instructor-xl,Template 38,Find marketing assets for Q4 campaign with high engagement metrics,0.798,0.645,0.896,1736,2025-09-28 03:05:07.853910,Testing accuracy improvements,False
EXP000422,Experiment 422 - multi_step,semantic,text-embedding-ada-002,Template 6,Find marketing assets for Q4 campaign with high engagement metrics,0.337,0.79,0.923,2337,2025-09-28 04:05:07.853910,Testing latency improvements,True
EXP000423,Experiment 423 - semantic,composed,gte-large,Template 25,Locate product demonstration videos from last quarter,0.505,0.577,0.958,1075,2025-09-28 05:05:07.853910,Testing relevance improvements,False
EXP000424,Experiment 424 - hybrid,semantic,bge-large-en,Template 15,Find approved logos suitable for digital and print use,0.535,0.5,0.753,2674,2025-09-28 06:05:07.853910,Testing relevance improvements,False
EXP000425,Experiment 425 - keyword,semantic,gte-large,Template 1,Search for brand-compliant social media templates,0.483,0.517,0.682,2737,2025-09-28 07:05:07.853910,Testing relevance improvements,True
EXP000426,Experiment 426 - semantic,filtered,instructor-xl,Template 24,Search for campaign assets tagged with sustainability,0.727,0.473,0.568,1966,2025-09-28 08:05:07.853910,Testing accuracy improvements,False
EXP000427,Experiment 427 - multi_step,semantic,all-MiniLM-L6-v2,Template 31,Find approved logos suitable for digital and print use,0.928,0.675,0.903,806,2025-09-28 09:05:07.853910,Testing latency improvements,False
EXP000428,Experiment 428 - semantic,filtered,all-MiniLM-L6-v2,Template 15,Search for brand-compliant social media templates,0.611,0.879,0.726,723,2025-09-28 10:05:07.853910,Testing relevance improvements,False
EXP000429,Experiment 429 - keyword,filtered,gte-large,Template 35,Find marketing assets for Q4 campaign with high engagement metrics,0.308,0.772,0.886,2386,2025-09-28 11:05:07.853910,Testing performance improvements,True
EXP000430,Experiment 430 - multi_step,semantic,text-embedding-ada-002,Template 8,Search for campaign assets tagged with sustainability,0.317,0.424,0.964,2203,2025-09-28 12:05:07.853910,Testing relevance improvements,False
EXP000431,Experiment 431 - composed,keyword,instructor-xl,Template 11,Find marketing assets for Q4 campaign with high engagement metrics,0.865,0.677,0.727,2198,2025-09-28 13:05:07.853910,Testing relevance improvements,False
EXP000432,Experiment 432 - keyword,hybrid,e5-large-v2,Template 1,Locate product demonstration videos from last quarter,0.589,0.515,0.588,1562,2025-09-28 14:05:07.853910,Testing accuracy improvements,False
EXP000433,Experiment 433 - hybrid,multi_step,e5-large-v2,Template 25,Find marketing assets for Q4 campaign with high engagement metrics,0.437,0.898,0.938,175,2025-09-28 15:05:07.853910,Testing latency improvements,False
EXP000434,Experiment 434 - filtered,keyword,text-embedding-ada-002,Template 1,Find marketing assets for Q4 campaign with high engagement metrics,0.726,0.584,0.85,1861,2025-09-28 16:05:07.853910,Testing performance improvements,False
EXP000435,Experiment 435 - keyword,keyword,all-MiniLM-L6-v2,Template 28,Locate product demonstration videos from last quarter,0.535,0.84,0.511,919,2025-09-28 17:05:07.853910,Testing latency improvements,False
EXP000436,Experiment 436 - multi_step,hybrid,e5-large-v2,Template 26,Search for campaign assets tagged with sustainability,0.515,0.483,0.573,767,2025-09-28 18:05:07.853910,Testing performance improvements,False
EXP000437,Experiment 437 - composed,filtered,gte-large,Template 28,Search for campaign assets tagged with sustainability,0.543,0.632,0.968,2567,2025-09-28 19:05:07.853910,Testing relevance improvements,False
EXP000438,Experiment 438 - multi_step,multi_step,bge-large-en,Template 17,Search for campaign assets tagged with sustainability,0.822,0.689,0.604,1027,2025-09-28 20:05:07.853910,Testing accuracy improvements,False
EXP000439,Experiment 439 - filtered,hybrid,e5-large-v2,Template 18,Find marketing assets for Q4 campaign with high engagement metrics,0.715,0.873,0.878,2546,2025-09-28 21:05:07.853910,Testing accuracy improvements,False
EXP000440,Experiment 440 - semantic,composed,e5-large-v2,Template 25,Search for brand-compliant social media templates,0.934,0.746,0.519,2535,2025-09-28 22:05:07.853910,Testing relevance improvements,False
EXP000441,Experiment 441 - hybrid,keyword,all-MiniLM-L6-v2,Template 32,Find marketing assets for Q4 campaign with high engagement metrics,0.454,0.572,0.919,1008,2025-09-28 23:05:07.853910,Testing performance improvements,False
EXP000442,Experiment 442 - multi_step,multi_step,instructor-xl,Template 35,Locate product demonstration videos from last quarter,0.873,0.64,0.716,280,2025-09-29 00:05:07.853910,Testing accuracy improvements,False
EXP000443,Experiment 443 - semantic,filtered,instructor-xl,Template 26,Locate product demonstration videos from last quarter,0.543,0.744,0.666,795,2025-09-29 01:05:07.853910,Testing accuracy improvements,True
EXP000444,Experiment 444 - multi_step,multi_step,e5-large-v2,Template 24,Find marketing assets for Q4 campaign with high engagement metrics,0.736,0.727,0.772,306,2025-09-29 02:05:07.853910,Testing accuracy improvements,False
EXP000445,Experiment 445 - composed,keyword,text-embedding-ada-002,Template 14,Locate product demonstration videos from last quarter,0.859,0.405,0.795,2558,2025-09-29 03:05:07.853910,Testing latency improvements,True
EXP000446,Experiment 446 - hybrid,multi_step,all-MiniLM-L6-v2,Template 8,Locate product demonstration videos from last quarter,0.721,0.68,0.715,176,2025-09-29 04:05:07.853910,Testing relevance improvements,False
EXP000447,Experiment 447 - multi_step,keyword,text-embedding-ada-002,Template 12,Search for campaign assets tagged with sustainability,0.525,0.541,0.91,2123,2025-09-29 05:05:07.853910,Testing relevance improvements,False
EXP000448,Experiment 448 - keyword,multi_step,bge-large-en,Template 39,Find marketing assets for Q4 campaign with high engagement metrics,0.728,0.865,0.832,1977,2025-09-29 06:05:07.853910,Testing accuracy improvements,False
EXP000449,Experiment 449 - multi_step,semantic,instructor-xl,Template 7,Find approved logos suitable for digital and print use,0.639,0.684,0.699,635,2025-09-29 07:05:07.853910,Testing latency improvements,False
EXP000450,Experiment 450 - filtered,hybrid,instructor-xl,Template 33,Locate product demonstration videos from last quarter,0.654,0.803,0.689,2581,2025-09-29 08:05:07.853910,Testing relevance improvements,False
EXP000451,Experiment 451 - filtered,filtered,gte-large,Template 31,Search for brand-compliant social media templates,0.46,0.514,0.792,1557,2025-09-29 09:05:07.853910,Testing relevance improvements,True
EXP000452,Experiment 452 - semantic,hybrid,bge-large-en,Template 3,Locate product demonstration videos from last quarter,0.648,0.85,0.942,365,2025-09-29 10:05:07.853910,Testing accuracy improvements,False
EXP000453,Experiment 453 - semantic,keyword,text-embedding-ada-002,Template 5,Search for campaign assets tagged with sustainability,0.624,0.446,0.744,762,2025-09-29 11:05:07.853910,Testing performance improvements,False
EXP000454,Experiment 454 - keyword,semantic,all-MiniLM-L6-v2,Template 30,Search for brand-compliant social media templates,0.647,0.835,0.621,1856,2025-09-29 12:05:07.853910,Testing performance improvements,False
EXP000455,Experiment 455 - hybrid,hybrid,gte-large,Template 24,Find marketing assets for Q4 campaign with high engagement metrics,0.532,0.631,0.921,605,2025-09-29 13:05:07.853910,Testing relevance improvements,False
EXP000456,Experiment 456 - composed,composed,gte-large,Template 10,Find marketing assets for Q4 campaign with high engagement metrics,0.545,0.812,0.947,1272,2025-09-29 14:05:07.853910,Testing relevance improvements,False
EXP000457,Experiment 457 - filtered,keyword,gte-large,Template 28,Search for brand-compliant social media templates,0.358,0.554,0.728,2540,2025-09-29 15:05:07.853910,Testing accuracy improvements,False
EXP000458,Experiment 458 - hybrid,multi_step,text-embedding-ada-002,Template 19,Search for campaign assets tagged with sustainability,0.316,0.869,0.641,2318,2025-09-29 16:05:07.853910,Testing relevance improvements,False
EXP000459,Experiment 459 - keyword,hybrid,instructor-xl,Template 30,Locate product demonstration videos from last quarter,0.699,0.496,0.572,888,2025-09-29 17:05:07.853910,Testing performance improvements,False
EXP000460,Experiment 460 - hybrid,hybrid,bge-large-en,Template 19,Find approved logos suitable for digital and print use,0.624,0.41,0.59,1181,2025-09-29 18:05:07.853910,Testing performance improvements,False
EXP000461,Experiment 461 - composed,composed,instructor-xl,Template 17,Search for campaign assets tagged with sustainability,0.888,0.45,0.629,2588,2025-09-29 19:05:07.853910,Testing relevance improvements,False
EXP000462,Experiment 462 - multi_step,hybrid,bge-large-en,Template 26,Search for brand-compliant social media templates,0.801,0.697,0.591,1902,2025-09-29 20:05:07.853910,Testing accuracy improvements,False
EXP000463,Experiment 463 - multi_step,semantic,bge-large-en,Template 17,Search for brand-compliant social media templates,0.739,0.84,0.67,1301,2025-09-29 21:05:07.853910,Testing relevance improvements,True
EXP000464,Experiment 464 - semantic,semantic,instructor-xl,Template 34,Find approved logos suitable for digital and print use,0.473,0.733,0.955,1426,2025-09-29 22:05:07.853910,Testing accuracy improvements,False
EXP000465,Experiment 465 - filtered,semantic,instructor-xl,Template 22,Find approved logos suitable for digital and print use,0.386,0.828,0.559,409,2025-09-29 23:05:07.853910,Testing performance improvements,False
EXP000466,Experiment 466 - semantic,composed,e5-large-v2,Template 23,Search for brand-compliant social media templates,0.422,0.445,0.718,2253,2025-09-30 00:05:07.853910,Testing performance improvements,False
EXP000467,Experiment 467 - multi_step,semantic,e5-large-v2,Template 29,Find marketing assets for Q4 campaign with high engagement metrics,0.343,0.841,0.537,912,2025-09-30 01:05:07.853910,Testing performance improvements,True
EXP000468,Experiment 468 - filtered,composed,all-MiniLM-L6-v2,Template 8,Search for brand-compliant social media templates,0.462,0.413,0.966,406,2025-09-30 02:05:07.853910,Testing relevance improvements,False
EXP000469,Experiment 469 - multi_step,semantic,all-MiniLM-L6-v2,Template 27,Find marketing assets for Q4 campaign with high engagement metrics,0.401,0.633,0.732,2917,2025-09-30 03:05:07.853910,Testing accuracy improvements,False
EXP000470,Experiment 470 - multi_step,composed,bge-large-en,Template 32,Search for campaign assets tagged with sustainability,0.711,0.693,0.692,1271,2025-09-30 04:05:07.853910,Testing accuracy improvements,True
EXP000471,Experiment 471 - semantic,hybrid,gte-large,Template 3,Locate product demonstration videos from last quarter,0.538,0.544,0.634,2320,2025-09-30 05:05:07.853910,Testing performance improvements,True
EXP000472,Experiment 472 - multi_step,keyword,gte-large,Template 4,Search for campaign assets tagged with sustainability,0.4,0.52,0.651,1272,2025-09-30 06:05:07.853910,Testing accuracy improvements,False
EXP000473,Experiment 473 - keyword,hybrid,text-embedding-ada-002,Template 21,Find marketing assets for Q4 campaign with high engagement metrics,0.828,0.884,0.525,2496,2025-09-30 07:05:07.853910,Testing latency improvements,False
EXP000474,Experiment 474 - keyword,keyword,bge-large-en,Template 23,Search for campaign assets tagged with sustainability,0.539,0.642,0.694,215,2025-09-30 08:05:07.853910,Testing relevance improvements,False
EXP000475,Experiment 475 - hybrid,keyword,all-MiniLM-L6-v2,Template 17,Find approved logos suitable for digital and print use,0.703,0.657,0.766,1612,2025-09-30 09:05:07.853910,Testing performance improvements,False
EXP000476,Experiment 476 - semantic,composed,instructor-xl,Template 20,Find approved logos suitable for digital and print use,0.641,0.472,0.903,553,2025-09-30 10:05:07.853910,Testing relevance improvements,True
EXP000477,Experiment 477 - composed,keyword,gte-large,Template 34,Find approved logos suitable for digital and print use,0.603,0.78,0.803,1692,2025-09-30 11:05:07.853910,Testing relevance improvements,False
EXP000478,Experiment 478 - keyword,multi_step,gte-large,Template 31,Search for campaign assets tagged with sustainability,0.479,0.401,0.884,2704,2025-09-30 12:05:07.853910,Testing performance improvements,True
EXP000479,Experiment 479 - hybrid,filtered,all-MiniLM-L6-v2,Template 37,Search for brand-compliant social media templates,0.924,0.844,0.688,1996,2025-09-30 13:05:07.853910,Testing relevance improvements,False
EXP000480,Experiment 480 - filtered,filtered,text-embedding-ada-002,Template 33,Find approved logos suitable for digital and print use,0.485,0.721,0.882,1518,2025-09-30 14:05:07.853910,Testing accuracy improvements,True
EXP000481,Experiment 481 - filtered,hybrid,bge-large-en,Template 3,Search for brand-compliant social media templates,0.937,0.601,0.965,1380,2025-09-30 15:05:07.853910,Testing relevance improvements,True
EXP000482,Experiment 482 - filtered,hybrid,all-MiniLM-L6-v2,Template 37,Find marketing assets for Q4 campaign with high engagement metrics,0.525,0.879,0.65,1260,2025-09-30 16:05:07.853910,Testing latency improvements,True
EXP000483,Experiment 483 - composed,semantic,e5-large-v2,Template 17,Search for campaign assets tagged with sustainability,0.823,0.739,0.811,900,2025-09-30 17:05:07.853910,Testing latency improvements,False
EXP000484,Experiment 484 - multi_step,semantic,gte-large,Template 17,Find approved logos suitable for digital and print use,0.762,0.634,0.946,1857,2025-09-30 18:05:07.853910,Testing relevance improvements,False
EXP000485,Experiment 485 - hybrid,multi_step,e5-large-v2,Template 39,Find approved logos suitable for digital and print use,0.74,0.725,0.644,1609,2025-09-30 19:05:07.853910,Testing performance improvements,False
EXP000486,Experiment 486 - composed,keyword,e5-large-v2,Template 10,Find marketing assets for Q4 campaign with high engagement metrics,0.897,0.8,0.581,2969,2025-09-30 20:05:07.853910,Testing relevance improvements,False
EXP000487,Experiment 487 - keyword,keyword,bge-large-en,Template 32,Find marketing assets for Q4 campaign with high engagement metrics,0.666,0.571,0.855,1641,2025-09-30 21:05:07.853910,Testing accuracy improvements,True
EXP000488,Experiment 488 - multi_step,filtered,all-MiniLM-L6-v2,Template 36,Find approved logos suitable for digital and print use,0.515,0.786,0.654,238,2025-09-30 22:05:07.853910,Testing performance improvements,False
EXP000489,Experiment 489 - filtered,multi_step,bge-large-en,Template 37,Locate product demonstration videos from last quarter,0.867,0.818,0.855,2108,2025-09-30 23:05:07.853910,Testing accuracy improvements,False
EXP000490,Experiment 490 - composed,hybrid,all-MiniLM-L6-v2,Template 25,Find marketing assets for Q4 campaign with high engagement metrics,0.568,0.563,0.756,224,2025-10-01 00:05:07.853910,Testing accuracy improvements,True
EXP000491,Experiment 491 - semantic,semantic,instructor-xl,Template 19,Search for brand-compliant social media templates,0.901,0.491,0.788,431,2025-10-01 01:05:07.853910,Testing relevance improvements,True
EXP000492,Experiment 492 - composed,composed,e5-large-v2,Template 15,Locate product demonstration videos from last quarter,0.761,0.414,0.764,1175,2025-10-01 02:05:07.853910,Testing relevance improvements,True
EXP000493,Experiment 493 - hybrid,semantic,all-MiniLM-L6-v2,Template 32,Search for campaign assets tagged with sustainability,0.924,0.529,0.6,875,2025-10-01 03:05:07.853910,Testing performance improvements,True
EXP000494,Experiment 494 - filtered,keyword,all-MiniLM-L6-v2,Template 36,Find approved logos suitable for digital and print use,0.622,0.854,0.583,1781,2025-10-01 04:05:07.853910,Testing latency improvements,False
EXP000495,Experiment 495 - filtered,hybrid,instructor-xl,Template 27,Find approved logos suitable for digital and print use,0.445,0.814,0.94,1275,2025-10-01 05:05:07.853910,Testing latency improvements,False
EXP000496,Experiment 496 - keyword,semantic,gte-large,Template 15,Find approved logos suitable for digital and print use,0.303,0.781,0.913,352,2025-10-01 06:05:07.853910,Testing relevance improvements,True
EXP000497,Experiment 497 - multi_step,composed,instructor-xl,Template 25,Search for brand-compliant social media templates,0.837,0.544,0.763,471,2025-10-01 07:05:07.853910,Testing relevance improvements,False
EXP000498,Experiment 498 - keyword,filtered,instructor-xl,Template 20,Search for campaign assets tagged with sustainability,0.31,0.725,0.936,2640,2025-10-01 08:05:07.853910,Testing latency improvements,False
EXP000499,Experiment 499 - keyword,hybrid,gte-large,Template 13,Find marketing assets for Q4 campaign with high engagement metrics,0.61,0.66,0.726,1781,2025-10-01 09:05:07.853910,Testing performance improvements,True
EXP000500,Experiment 500 - keyword,keyword,gte-large,Template 17,Locate product demonstration videos from last quarter,0.651,0.854,0.969,1349,2025-10-01 10:05:07.853910,Testing accuracy improvements,False
EXP000501,Experiment 501 - hybrid,keyword,bge-large-en,Template 28,Find approved logos suitable for digital and print use,0.646,0.793,0.89,1674,2025-10-01 11:05:07.853910,Testing accuracy improvements,False
EXP000502,Experiment 502 - hybrid,hybrid,all-MiniLM-L6-v2,Template 28,Find approved logos suitable for digital and print use,0.752,0.817,0.563,545,2025-10-01 12:05:07.853910,Testing latency improvements,False
EXP000503,Experiment 503 - semantic,semantic,text-embedding-ada-002,Template 15,Find approved logos suitable for digital and print use,0.315,0.78,0.871,1167,2025-10-01 13:05:07.853910,Testing relevance improvements,False
EXP000504,Experiment 504 - composed,composed,bge-large-en,Template 25,Find approved logos suitable for digital and print use,0.58,0.688,0.636,2948,2025-10-01 14:05:07.853910,Testing relevance improvements,True
EXP000505,Experiment 505 - keyword,composed,instructor-xl,Template 12,Locate product demonstration videos from last quarter,0.481,0.805,0.905,2838,2025-10-01 15:05:07.853910,Testing relevance improvements,False
EXP000506,Experiment 506 - hybrid,composed,bge-large-en,Template 1,Find marketing assets for Q4 campaign with high engagement metrics,0.928,0.855,0.571,2565,2025-10-01 16:05:07.853910,Testing latency improvements,True
EXP000507,Experiment 507 - hybrid,keyword,e5-large-v2,Template 12,Find approved logos suitable for digital and print use,0.593,0.784,0.614,2474,2025-10-01 17:05:07.853910,Testing relevance improvements,False
EXP000508,Experiment 508 - keyword,keyword,text-embedding-ada-002,Template 15,Search for campaign assets tagged with sustainability,0.438,0.613,0.767,350,2025-10-01 18:05:07.853910,Testing performance improvements,False
EXP000509,Experiment 509 - hybrid,multi_step,all-MiniLM-L6-v2,Template 12,Find marketing assets for Q4 campaign with high engagement metrics,0.817,0.587,0.624,1755,2025-10-01 19:05:07.853910,Testing relevance improvements,False
EXP000510,Experiment 510 - multi_step,multi_step,gte-large,Template 34,Find marketing assets for Q4 campaign with high engagement metrics,0.527,0.498,0.862,2851,2025-10-01 20:05:07.853910,Testing latency improvements,False
EXP000511,Experiment 511 - multi_step,filtered,bge-large-en,Template 22,Find marketing assets for Q4 campaign with high engagement metrics,0.567,0.866,0.756,1136,2025-10-01 21:05:07.853910,Testing accuracy improvements,False
EXP000512,Experiment 512 - composed,hybrid,e5-large-v2,Template 24,Locate product demonstration videos from last quarter,0.414,0.574,0.832,2908,2025-10-01 22:05:07.853910,Testing relevance improvements,False
EXP000513,Experiment 513 - hybrid,filtered,text-embedding-ada-002,Template 8,Search for campaign assets tagged with sustainability,0.513,0.673,0.512,2626,2025-10-01 23:05:07.853910,Testing accuracy improvements,True
EXP000514,Experiment 514 - multi_step,filtered,all-MiniLM-L6-v2,Template 1,Search for brand-compliant social media templates,0.837,0.576,0.914,1976,2025-10-02 00:05:07.853910,Testing performance improvements,False
EXP000515,Experiment 515 - composed,composed,bge-large-en,Template 31,Search for brand-compliant social media templates,0.722,0.823,0.738,389,2025-10-02 01:05:07.853910,Testing accuracy improvements,False
EXP000516,Experiment 516 - composed,keyword,gte-large,Template 3,Find marketing assets for Q4 campaign with high engagement metrics,0.375,0.633,0.721,1884,2025-10-02 02:05:07.853910,Testing latency improvements,False
EXP000517,Experiment 517 - semantic,composed,all-MiniLM-L6-v2,Template 27,Find approved logos suitable for digital and print use,0.396,0.571,0.806,2485,2025-10-02 03:05:07.853910,Testing performance improvements,False
EXP000518,Experiment 518 - filtered,keyword,gte-large,Template 30,Search for campaign assets tagged with sustainability,0.403,0.583,0.753,1396,2025-10-02 04:05:07.853910,Testing relevance improvements,False
EXP000519,Experiment 519 - filtered,filtered,text-embedding-ada-002,Template 27,Find marketing assets for Q4 campaign with high engagement metrics,0.419,0.428,0.873,520,2025-10-02 05:05:07.853910,Testing accuracy improvements,False
EXP000520,Experiment 520 - filtered,semantic,instructor-xl,Template 15,Search for brand-compliant social media templates,0.443,0.433,0.96,487,2025-10-02 06:05:07.853910,Testing latency improvements,False
EXP000521,Experiment 521 - semantic,semantic,e5-large-v2,Template 4,Search for brand-compliant social media templates,0.575,0.778,0.649,1794,2025-10-02 07:05:07.853910,Testing latency improvements,False
EXP000522,Experiment 522 - semantic,multi_step,gte-large,Template 17,Find marketing assets for Q4 campaign with high engagement metrics,0.334,0.664,0.602,917,2025-10-02 08:05:07.853910,Testing relevance improvements,False
EXP000523,Experiment 523 - semantic,keyword,instructor-xl,Template 14,Locate product demonstration videos from last quarter,0.515,0.411,0.941,1284,2025-10-02 09:05:07.853910,Testing accuracy improvements,False
EXP000524,Experiment 524 - composed,composed,text-embedding-ada-002,Template 18,Search for brand-compliant social media templates,0.892,0.703,0.592,2616,2025-10-02 10:05:07.853910,Testing accuracy improvements,True
EXP000525,Experiment 525 - semantic,composed,bge-large-en,Template 28,Find approved logos suitable for digital and print use,0.915,0.624,0.56,1795,2025-10-02 11:05:07.853910,Testing relevance improvements,True
EXP000526,Experiment 526 - filtered,hybrid,instructor-xl,Template 19,Locate product demonstration videos from last quarter,0.811,0.456,0.681,1569,2025-10-02 12:05:07.853910,Testing relevance improvements,False
EXP000527,Experiment 527 - semantic,keyword,bge-large-en,Template 30,Find marketing assets for Q4 campaign with high engagement metrics,0.759,0.876,0.737,736,2025-10-02 13:05:07.853910,Testing latency improvements,True
EXP000528,Experiment 528 - keyword,multi_step,text-embedding-ada-002,Template 17,Find approved logos suitable for digital and print use,0.653,0.757,0.827,1085,2025-10-02 14:05:07.853910,Testing performance improvements,False
EXP000529,Experiment 529 - hybrid,multi_step,gte-large,Template 16,Find marketing assets for Q4 campaign with high engagement metrics,0.683,0.503,0.759,2751,2025-10-02 15:05:07.853910,Testing accuracy improvements,True
EXP000530,Experiment 530 - filtered,hybrid,text-embedding-ada-002,Template 17,Find marketing assets for Q4 campaign with high engagement metrics,0.568,0.735,0.668,1565,2025-10-02 16:05:07.853910,Testing performance improvements,False
EXP000531,Experiment 531 - keyword,hybrid,gte-large,Template 8,Search for campaign assets tagged with sustainability,0.778,0.652,0.939,958,2025-10-02 17:05:07.853910,Testing accuracy improvements,False
EXP000532,Experiment 532 - composed,hybrid,gte-large,Template 27,Search for brand-compliant social media templates,0.767,0.739,0.548,1448,2025-10-02 18:05:07.853910,Testing relevance improvements,False
EXP000533,Experiment 533 - keyword,filtered,text-embedding-ada-002,Template 30,Locate product demonstration videos from last quarter,0.478,0.882,0.892,1189,2025-10-02 19:05:07.853910,Testing accuracy improvements,True
EXP000534,Experiment 534 - keyword,filtered,bge-large-en,Template 14,Search for campaign assets tagged with sustainability,0.566,0.529,0.523,1745,2025-10-02 20:05:07.853910,Testing accuracy improvements,False
EXP000535,Experiment 535 - filtered,hybrid,all-MiniLM-L6-v2,Template 19,Search for brand-compliant social media templates,0.518,0.739,0.552,233,2025-10-02 21:05:07.853910,Testing performance improvements,False
EXP000536,Experiment 536 - keyword,keyword,instructor-xl,Template 17,Search for campaign assets tagged with sustainability,0.663,0.601,0.759,2145,2025-10-02 22:05:07.853910,Testing latency improvements,True
EXP000537,Experiment 537 - composed,hybrid,bge-large-en,Template 29,Search for brand-compliant social media templates,0.903,0.525,0.786,2113,2025-10-02 23:05:07.853910,Testing relevance improvements,False
EXP000538,Experiment 538 - multi_step,filtered,gte-large,Template 12,Locate product demonstration videos from last quarter,0.396,0.683,0.569,2820,2025-10-03 00:05:07.853910,Testing performance improvements,False
EXP000539,Experiment 539 - multi_step,multi_step,e5-large-v2,Template 37,Search for brand-compliant social media templates,0.465,0.753,0.776,1285,2025-10-03 01:05:07.853910,Testing accuracy improvements,True
EXP000540,Experiment 540 - multi_step,multi_step,all-MiniLM-L6-v2,Template 3,Locate product demonstration videos from last quarter,0.474,0.545,0.841,1828,2025-10-03 02:05:07.853910,Testing performance improvements,False
EXP000541,Experiment 541 - hybrid,keyword,e5-large-v2,Template 10,Search for brand-compliant social media templates,0.327,0.874,0.566,1029,2025-10-03 03:05:07.853910,Testing relevance improvements,False
EXP000542,Experiment 542 - semantic,keyword,bge-large-en,Template 2,Search for campaign assets tagged with sustainability,0.457,0.676,0.855,1286,2025-10-03 04:05:07.853910,Testing relevance improvements,False
EXP000543,Experiment 543 - filtered,composed,text-embedding-ada-002,Template 39,Find approved logos suitable for digital and print use,0.644,0.579,0.794,2806,2025-10-03 05:05:07.853910,Testing performance improvements,False
EXP000544,Experiment 544 - semantic,composed,e5-large-v2,Template 15,Locate product demonstration videos from last quarter,0.635,0.503,0.669,863,2025-10-03 06:05:07.853910,Testing latency improvements,False
EXP000545,Experiment 545 - keyword,hybrid,bge-large-en,Template 35,Search for campaign assets tagged with sustainability,0.769,0.537,0.927,2808,2025-10-03 07:05:07.853910,Testing relevance improvements,False
EXP000546,Experiment 546 - hybrid,keyword,text-embedding-ada-002,Template 8,Find approved logos suitable for digital and print use,0.876,0.829,0.789,2097,2025-10-03 08:05:07.853910,Testing accuracy improvements,False
EXP000547,Experiment 547 - filtered,multi_step,text-embedding-ada-002,Template 30,Find approved logos suitable for digital and print use,0.677,0.769,0.771,1412,2025-10-03 09:05:07.853910,Testing relevance improvements,False
EXP000548,Experiment 548 - keyword,hybrid,e5-large-v2,Template 39,Locate product demonstration videos from last quarter,0.404,0.765,0.589,1018,2025-10-03 10:05:07.853910,Testing latency improvements,False
EXP000549,Experiment 549 - keyword,multi_step,instructor-xl,Template 1,Find marketing assets for Q4 campaign with high engagement metrics,0.855,0.735,0.535,2455,2025-10-03 11:05:07.853910,Testing accuracy improvements,False
EXP000550,Experiment 550 - semantic,semantic,instructor-xl,Template 8,Search for campaign assets tagged with sustainability,0.421,0.714,0.59,1884,2025-10-03 12:05:07.853910,Testing relevance improvements,True
EXP000551,Experiment 551 - composed,multi_step,text-embedding-ada-002,Template 20,Find approved logos suitable for digital and print use,0.856,0.629,0.922,1088,2025-10-03 13:05:07.853910,Testing accuracy improvements,False
EXP000552,Experiment 552 - composed,keyword,all-MiniLM-L6-v2,Template 25,Find marketing assets for Q4 campaign with high engagement metrics,0.603,0.735,0.712,987,2025-10-03 14:05:07.853910,Testing performance improvements,True
EXP000553,Experiment 553 - hybrid,semantic,bge-large-en,Template 24,Find marketing assets for Q4 campaign with high engagement metrics,0.362,0.747,0.694,1580,2025-10-03 15:05:07.853910,Testing latency improvements,False
EXP000554,Experiment 554 - semantic,multi_step,all-MiniLM-L6-v2,Template 21,Find approved logos suitable for digital and print use,0.803,0.647,0.86,850,2025-10-03 16:05:07.853910,Testing performance improvements,False
EXP000555,Experiment 555 - semantic,multi_step,all-MiniLM-L6-v2,Template 37,Find marketing assets for Q4 campaign with high engagement metrics,0.555,0.89,0.704,1975,2025-10-03 17:05:07.853910,Testing performance improvements,True
EXP000556,Experiment 556 - hybrid,hybrid,instructor-xl,Template 3,Search for brand-compliant social media templates,0.732,0.667,0.752,1015,2025-10-03 18:05:07.853910,Testing performance improvements,False
EXP000557,Experiment 557 - multi_step,composed,gte-large,Template 8,Find marketing assets for Q4 campaign with high engagement metrics,0.839,0.615,0.687,342,2025-10-03 19:05:07.853910,Testing performance improvements,True
EXP000558,Experiment 558 - multi_step,filtered,text-embedding-ada-002,Template 17,Find approved logos suitable for digital and print use,0.802,0.794,0.954,2704,2025-10-03 20:05:07.853910,Testing relevance improvements,False
EXP000559,Experiment 559 - semantic,semantic,text-embedding-ada-002,Template 18,Search for brand-compliant social media templates,0.88,0.748,0.686,2081,2025-10-03 21:05:07.853910,Testing relevance improvements,True
EXP000560,Experiment 560 - composed,composed,instructor-xl,Template 32,Find approved logos suitable for digital and print use,0.332,0.492,0.799,1619,2025-10-03 22:05:07.853910,Testing latency improvements,False
EXP000561,Experiment 561 - semantic,semantic,bge-large-en,Template 15,Search for brand-compliant social media templates,0.364,0.457,0.672,476,2025-10-03 23:05:07.853910,Testing accuracy improvements,False
